duplicatenote,source,date_added,date_updated,property_name,site_name,unit_type,property_type,property__total_sites,quantity_of_units,unit_capacity,year_site_opened,operating_season__months_,__of_locations,address,city,state,zip_code,country,occupancy_rate_2024,avg__retail_daily_rate_2024,high_rate_2024,low_rate_2024,retail_daily_rate__fees__2024,revpar_2024,occupancy_rate_2025,retail_daily_rate_ytd,retail_daily_rate__fees__ytd,high_rate_2025,low_rate_2025,revpar_2025,high_month_2025,high_avg__occupancy_2025,low_month_2025,low_avg__occupancy_2025,operating_season__excel_format_,avg__rate__next_12_months_,high_rate__next_12_months_,low_rate__next_12_months_,winter_weekday,winter_weekend,spring_weekday,spring_weekend,summer_weekday,summer_weekend,fall_weekday,fall_weekend,url,description,minimum_nights,getting_there,lon,lat,toilet,hot_tub___sauna,pool,pets,water,shower,trash,cooking_equipment,picnic_table,wifi,laundry,campfires,playground,rv___vehicle_length,rv___parking,rv___accommodates_slideout,rv___surface_type,rv___surface_level,rv___vehicles__fifth_wheels,rv___vehicles__class_a_rvs,rv___vehicles__class_b_rvs,rv___vehicles__class_c_rvs,rv___vehicles__toy_hauler,fishing,surfing,horseback_riding,paddling,climbing,off_roading__ohv_,boating,swimming,wind_sports,snow_sports,whitewater_paddling,fall_fun,hiking,wildlife_watching,biking,ranch,beach,coastal,suburban,forest,field,wetlands,hot_spring,desert,canyon,waterfall,swimming_hole,lake,cave,redwoods,farm,river__stream__or_creek,mountainous,sage___p__amenity__food_on_site,waterfront,restaurant,dog_park,clubhouse,canoeing___kayaking,alcohol_available,golf_cart_rental,private_bathroom,waterpark,kitchen,patio,electricity,general_store,cable,charcoal_grill,sewer_hook_up,electrical_hook_up,generators_allowed,water_hookup,phone_number,google_website_uri,google_dine_in,google_takeout,google_delivery,google_serves_breakfast,google_serves_lunch,google_serves_dinner,google_serves_brunch,google_outdoor_seating,google_live_music,google_menu_uri,google_place_types,google_primary_type,google_primary_type_display_name,google_photos,google_icon_uri,google_icon_background_color,google_reservable,google_rating,google_user_rating_total,google_business_status,google_opening_hours,google_current_opening_hours,google_parking_options,google_price_level,google_payment_options,google_wheelchair_accessible_parking,google_wheelchair_accessible_entrance,google_wheelchair_accessible_restroom,google_wheelchair_accessible_seating,google_allows_dogs,slug,quality_score,google_place_id,is_glamping_property
,OpenAI Research: best glamping resorts Italy 2024,2026-01-28,,Canonici di San Marco,,luxury tents,Glamping Resort,7,7,2-4 guests,2010,April-October,,"Via Accopè Fratte, 14, 30035 Mirano VE",Mirano,Veneto,30035,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.glampingcanonici.com,"Nestled between the Venetian Lagoon and the Brenta River, this luxury glamping site offers a unique blend of nature and culture.",2 nights,"The property is accessible by car and is located approximately 30 km from Venice Marco Polo Airport. The nearest train station is in Mirano, which connects to major cities in the region.",12.1375,45.4688,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,No,No,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,+39 041 847 3527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: best glamping resorts Italy 2024,2026-01-28,,La Piantata,,treehouses,Glamping Resort,8,2,2-4 guests,2005,Year-round,,"Strada Provinciale 113, Km 1.6, 01010 Arlena di Castro VT",Arlena di Castro,Lazio,01010,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.lapiantata.it,"Famous for its lavender fields and stunning treehouses, La Piantata offers a serene escape in the Italian countryside.",,"The nearest airport is Rome Fiumicino, approximately 90 km away. The property is accessible by car and offers parking facilities.",11.8311,42.4541,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,+39 0761 451255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: best glamping resorts Italy 2024,2026-01-28,,Glamping Il Sole,,"safari tents, yurts",Glamping Resort,,,,,April-October,,"Podere Il Sole, 58045 Civitella Paganico GR",Civitella Paganico,Tuscany,58045,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.glampingilsole.com,"Located in the heart of Tuscany, this retreat offers eco-friendly accommodations with beautiful views of the rolling hills.",,,11.2863,42.9553,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,+39 0564 905038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: best glamping resorts Italy 2024,2026-01-28,,Torre Rinalda Beach Camping & Resort,,"safari tents, bungalows",Luxury Campground,,,,,April-October,,"Via Simeone D'Antona, 73100 Torre Rinalda LE",Lecce,Apulia,73100,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.torrerinalda.it,"A beachfront glamping experience offering a range of accommodations and activities, perfect for families and couples.",,"The resort is accessible via Brindisi Airport, which is approximately a 30-minute drive away. Lecce train station is also nearby, offering connections to major Italian cities.",18.0635,40.4701,Yes,,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,,Yes,,Yes,,grass,Yes,,,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,,Yes,,,No,,,Yes,,,,,,,,+39 0832 376017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: best glamping resorts Italy 2024,2026-01-28,,Vedetta Lodges,,luxury tents,Boutique Camping,,,,,,,"Località Poggio La Forcola, 58020 Scarlino GR",Scarlino,Tuscany,58020,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.vedettalodges.com,"Set on a hilltop with panoramic views of the Tyrrhenian Sea, Vedetta Lodges offers luxurious tent accommodations in a tranquil setting.",,,10.8084,42.9113,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,,,,,,,,,,,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,No,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,+39 0566 866117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: luxury glamping Italia,2026-01-28,,Orlando in Chianti Glamping Resort,,"safari tents, lodges",Glamping Resort,,,,,April-October,,"Località Cafaggiolo, 170, 52022 Cavriglia AR",Cavriglia,Tuscany,52022,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.orlandoinchianti.it,"Set in the scenic Chianti hills, this resort offers luxurious safari tents and lodges surrounded by vineyards and olive groves.",,"The resort is located approximately 60 km south of Florence. The nearest airports are Florence Airport and Pisa International Airport. The closest train station is in Montevarchi, about 20 km away, from where you can take a taxi to the resort.",11.4574,43.5419,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,No,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,No,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,+39 055 960 202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: luxury glamping Italia,2026-01-28,,Agricampeggio Maddalena,,"tents, cabins",Luxury Campground,,,,,,,"Contrada Colle della Maddalena, 86079 Venafro IS",Venafro,Molise,86079,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.agricampeggiomaddalena.com,"A serene retreat in Molise, offering luxury tents and cabins with stunning views of the surrounding countryside.",,,14.0425,41.4888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+39 0865 907 441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: luxury glamping Italia,2026-01-28,,Glamping Canonica,,"safari tents, lodges",Glamping Resort,,,,,April-October,,"Località Canonica, 53037 San Gimignano SI",San Gimignano,Tuscany,53037,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.glampingcanonica.com,"Experience the charm of Tuscany in luxurious safari tents and lodges, located near the medieval town of San Gimignano.",2 nights,,11.0438,43.4708,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,,No,No,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,+39 0577 941 419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: glamping sites Tuscany Italy,2026-01-28,,Glamping Canonici di San Marco,,safari tents,Glamping Resort,5,5,2-4 guests,,April-October,,"Via Accopè Fratte, 14, 30035 Mirano VE",Mirano,Veneto,30035,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.glampingcanonici.com,"Nestled between the Venetian Lagoon and the Brenta Riviera, this glamping site offers luxurious safari tents with elegant furnishings.",,"The property is located approximately 25 km from Venice Marco Polo Airport. It is accessible by car or taxi, and the nearest train station is in Mirano, which is a short drive away.",12.1082,45.4487,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,+39 041 8475323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: glamping sites Tuscany Italy,2026-01-28,,Norcenni Girasole Club,,"safari tents, lodge tents",Glamping Resort,800,,2-6 guests,,April-October,,"Via Norcenni, 7, 50063 Figline Valdarno FI",Figline Valdarno,Tuscany,50063,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://norcenni.humancompany.com,A family-friendly glamping resort offering a variety of accommodations including safari tents and lodge tents in the Chianti region.,,"The property is accessible by car via the A1 motorway, and the nearest train station is Figline Valdarno, which connects to major cities like Florence and Rome. The closest airport is Florence Airport, approximately 45 km away.",11.4412,43.6204,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,,Yes,No,Grass,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,+39 055 915141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
