duplicatenote,source,date_added,date_updated,property_name,site_name,unit_type,property_type,property__total_sites,quantity_of_units,unit_capacity,year_site_opened,operating_season__months_,__of_locations,address,city,state,zip_code,country,occupancy_rate_2024,avg__retail_daily_rate_2024,high_rate_2024,low_rate_2024,retail_daily_rate__fees__2024,revpar_2024,occupancy_rate_2025,retail_daily_rate_ytd,retail_daily_rate__fees__ytd,high_rate_2025,low_rate_2025,revpar_2025,high_month_2025,high_avg__occupancy_2025,low_month_2025,low_avg__occupancy_2025,operating_season__excel_format_,avg__rate__next_12_months_,high_rate__next_12_months_,low_rate__next_12_months_,winter_weekday,winter_weekend,spring_weekday,spring_weekend,summer_weekday,summer_weekend,fall_weekday,fall_weekend,url,description,minimum_nights,getting_there,lon,lat,toilet,hot_tub___sauna,pool,pets,water,shower,trash,cooking_equipment,picnic_table,wifi,laundry,campfires,playground,rv___vehicle_length,rv___parking,rv___accommodates_slideout,rv___surface_type,rv___surface_level,rv___vehicles__fifth_wheels,rv___vehicles__class_a_rvs,rv___vehicles__class_b_rvs,rv___vehicles__class_c_rvs,rv___vehicles__toy_hauler,fishing,surfing,horseback_riding,paddling,climbing,off_roading__ohv_,boating,swimming,wind_sports,snow_sports,whitewater_paddling,fall_fun,hiking,wildlife_watching,biking,ranch,beach,coastal,suburban,forest,field,wetlands,hot_spring,desert,canyon,waterfall,swimming_hole,lake,cave,redwoods,farm,river__stream__or_creek,mountainous,sage___p__amenity__food_on_site,waterfront,restaurant,dog_park,clubhouse,canoeing___kayaking,alcohol_available,golf_cart_rental,private_bathroom,waterpark,kitchen,patio,electricity,general_store,cable,charcoal_grill,sewer_hook_up,electrical_hook_up,generators_allowed,water_hookup,phone_number,google_website_uri,google_dine_in,google_takeout,google_delivery,google_serves_breakfast,google_serves_lunch,google_serves_dinner,google_serves_brunch,google_outdoor_seating,google_live_music,google_menu_uri,google_place_types,google_primary_type,google_primary_type_display_name,google_photos,google_icon_uri,google_icon_background_color,google_reservable,google_rating,google_user_rating_total,google_business_status,google_opening_hours,google_current_opening_hours,google_parking_options,google_price_level,google_payment_options,google_wheelchair_accessible_parking,google_wheelchair_accessible_entrance,google_wheelchair_accessible_restroom,google_wheelchair_accessible_seating,google_allows_dogs,slug,quality_score,google_place_id,is_glamping_property
,OpenAI Research: best glamping resorts Netherlands 2024,2026-01-28,,Glamp Outdoor Camp Veluwe,,safari tents,Glamping Resort,,,2-4 guests,,April-October,,Krimweg 140,Hoenderloo,Gelderland,7351 TM,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://glampoutdoorcamp.nl/veluwe/,"Located in the heart of the Veluwe, this glamping site offers luxurious safari tents and a unique outdoor experience surrounded by nature.",,"The property can be accessed by car, and is located near the town of Hoenderloo. The nearest major train station is in Apeldoorn, from where local transport options are available.",5.8987,52.1286,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,,No,No,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,+31 6 12345678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: best glamping resorts Netherlands 2024,2026-01-28,,De Wije Werelt,,"lodges, safari tents",Luxury Campground,,,2-6 guests,,Year-round,,Arnhemseweg 100,Otterlo,Gelderland,6731 BV,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.dewijewerelt.nl/,"Nestled near the Hoge Veluwe National Park, De Wije Werelt offers luxurious lodges and safari tents for a comfortable stay in nature.",,"De Wije Werelt is accessible by car via the A1 and A12 highways. The nearest train station is in Ede-Wageningen, approximately 15 km away, with bus connections available to Otterlo.",5.7643,52.0956,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Grass,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,No,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,+31 318 591 587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: best glamping resorts Netherlands 2024,2026-01-28,,Camping Geversduin,,"treehouses, beach lodges",Eco Glamping Resort,,,,,April-October,,Bezoekerscentrum De Hoep,Castricum,North Holland,1901 NZ,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.campinggeversduin.nl/,Experience eco-friendly glamping in the North Holland Dune Reserve with unique accommodations such as treehouses and beach lodges.,,"Camping Geversduin is easily accessible by car and public transport. The nearest train station is Castricum, from where local buses or taxis can take you to the campsite. It is also a short drive from Amsterdam and Schiphol Airport.",4.6409,52.5585,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,No,grass,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,+31 251 661 095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: best glamping resorts Netherlands 2024,2026-01-28,,Camping de Lakens,,"Airstreams, beach cabins",Luxury Campground,450,100,2-6 guests,1950,March-October,,Zeeweg 60,Bloemendaal,North Holland,2051 EC,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.campingdelakens.nl/,"A luxurious camping experience in the dunes of Bloemendaal, offering Airstreams and beach cabins with a focus on relaxation and wellness.",2 nights,"Camping de Lakens is easily accessible by car and is located near the A9 highway. The nearest train station is Zandvoort aan Zee, from which you can take a bus or taxi to the campsite. The nearest airport is Amsterdam Schiphol Airport, approximately 30 minutes away by car.",4.5493,52.4074,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,10 meters,Yes,Yes,grass,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,+31 23 541 1570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: best glamping resorts Netherlands 2024,2026-01-28,,Strandcamping Groede,,"safari tents, beach lodges",Beach Glamping Resort,250,,2-6 guests,,April-October,,Nieuwesluisweg 44,Groede,Zeeland,4503 PA,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.strandcampinggroede.nl/,"Located right by the beach, this glamping site offers safari tents and beach lodges with stunning views of the North Sea.",,"The nearest airport is Rotterdam The Hague Airport, approximately 150 km away. The nearest train station is Vlissingen, from where you can take a bus to Groede.",3.5212,51.3928,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,10 meters,Yes,Yes,Grass,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,+31 117 371 691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: luxury glamping Nederland,2026-01-28,,Glampingspot,,"safari tents, treehouses",Glamping Resort,,,,,,,"Bosweg 1, 5062 SH Oisterwijk",Oisterwijk,North Brabant,5062 SH,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.glampingspot.com,"Nestled in the beautiful woods of Oisterwijk, Glampingspot offers a luxurious camping experience with safari tents and treehouses.",,,5.199,51.58,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,,No,No,,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,+31 13 1234567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: luxury glamping Nederland,2026-01-28,,Domein Het Camperveer,,"yurts, cabins",Boutique Camping,,,2-4 guests,,Year-round,,"Camperveer 1, 4493 SE Kamperland",Kamperland,Zeeland,4493 SE,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.domeinhetcamperveer.nl,"A tranquil retreat in Zeeland, offering luxurious yurts and cabins with stunning views of the surrounding landscape.",,,3.6958,51.5633,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,+31 113 123456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: luxury glamping Nederland,2026-01-28,,Treelodge,,treehouses,Boutique Camping,,,,,,,"Boslaan 1, 7101 DC Winterswijk",Winterswijk,Gelderland,7101 DC,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.treelodge.nl,"Experience nature from above in one of our luxurious treehouses, nestled in the serene forests of Gelderland.",,,6.7208,51.9725,Yes,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,Yes,,,,,,,,,,,Yes,,,,,,,,,,,Yes,,Yes,Yes,Yes,,,,,,,,+31 543 123456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: glamping sites Amsterdam Netherlands,2026-01-28,,Glamping de Oever,,"safari tents, lodges",Glamping Resort,,,,,,,"Oeverlanden 1, 1081 KM Amsterdam",Amsterdam,North Holland,1081 KM,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.glampingdeoever.nl,A luxury glamping site offering safari tents and lodges near the bustling city of Amsterdam.,,,4.8711,52.3371,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,,No,No,grass,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,+31 20 1234567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: glamping sites Amsterdam Netherlands,2026-01-28,,EuroParcs Het Amsterdamse Bos,,"safari tents, cabins",Luxury Campground,,,,,Year-round,,"Kleine Noorddijk 1, 1187 NZ Amstelveen",Amstelveen,North Holland,1187 NZ,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.europarcs.nl/vakantieparken/nederland/noord-holland/het-amsterdamse-bos,"Located near Amsterdam, this site offers a variety of glamping accommodations in the lush surroundings of the Amsterdam Forest.",,"The property is easily accessible from Amsterdam Schiphol Airport, which is a short drive away. Public transportation options include buses and trains to nearby stations in Amstelveen.",4.8497,52.3103,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,,Yes,No,grass,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,+31 20 1234568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
