duplicatenote,source,date_added,date_updated,property_name,site_name,unit_type,property_type,property__total_sites,quantity_of_units,unit_capacity,year_site_opened,operating_season__months_,__of_locations,address,city,state,zip_code,country,occupancy_rate_2024,avg__retail_daily_rate_2024,high_rate_2024,low_rate_2024,retail_daily_rate__fees__2024,revpar_2024,occupancy_rate_2025,retail_daily_rate_ytd,retail_daily_rate__fees__ytd,high_rate_2025,low_rate_2025,revpar_2025,high_month_2025,high_avg__occupancy_2025,low_month_2025,low_avg__occupancy_2025,operating_season__excel_format_,avg__rate__next_12_months_,high_rate__next_12_months_,low_rate__next_12_months_,winter_weekday,winter_weekend,spring_weekday,spring_weekend,summer_weekday,summer_weekend,fall_weekday,fall_weekend,url,description,minimum_nights,getting_there,lon,lat,toilet,hot_tub___sauna,pool,pets,water,shower,trash,cooking_equipment,picnic_table,wifi,laundry,campfires,playground,rv___vehicle_length,rv___parking,rv___accommodates_slideout,rv___surface_type,rv___surface_level,rv___vehicles__fifth_wheels,rv___vehicles__class_a_rvs,rv___vehicles__class_b_rvs,rv___vehicles__class_c_rvs,rv___vehicles__toy_hauler,fishing,surfing,horseback_riding,paddling,climbing,off_roading__ohv_,boating,swimming,wind_sports,snow_sports,whitewater_paddling,fall_fun,hiking,wildlife_watching,biking,ranch,beach,coastal,suburban,forest,field,wetlands,hot_spring,desert,canyon,waterfall,swimming_hole,lake,cave,redwoods,farm,river__stream__or_creek,mountainous,sage___p__amenity__food_on_site,waterfront,restaurant,dog_park,clubhouse,canoeing___kayaking,alcohol_available,golf_cart_rental,private_bathroom,waterpark,kitchen,patio,electricity,general_store,cable,charcoal_grill,sewer_hook_up,electrical_hook_up,generators_allowed,water_hookup,phone_number,google_website_uri,google_dine_in,google_takeout,google_delivery,google_serves_breakfast,google_serves_lunch,google_serves_dinner,google_serves_brunch,google_outdoor_seating,google_live_music,google_menu_uri,google_place_types,google_primary_type,google_primary_type_display_name,google_photos,google_icon_uri,google_icon_background_color,google_reservable,google_rating,google_user_rating_total,google_business_status,google_opening_hours,google_current_opening_hours,google_parking_options,google_price_level,google_payment_options,google_wheelchair_accessible_parking,google_wheelchair_accessible_entrance,google_wheelchair_accessible_restroom,google_wheelchair_accessible_seating,google_allows_dogs,slug,quality_score,google_place_id,is_glamping_property
,OpenAI Research: best glamping resorts Portugal 2024,2026-01-28,,Bukubaki Eco Surf Resort,,"safari tents, treehouses",Eco Surf Resort,,,,,Year-round,,"Rua do Juncal, 2510-193 Ferrel, Peniche",Peniche,Leiria,2510-193,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://bukubaki.com,"A unique eco-friendly resort combining surfing, wellness, and glamping experiences in a pine forest near the beach.",,"The resort is located near Peniche, accessible by car from Lisbon in about 1.5 hours. The nearest airport is Lisbon Portela Airport, and public transportation options include buses to Peniche with a short taxi ride to the resort.",-9.3395,39.3557,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,No,No,,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,+351 262 750 050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: best glamping resorts Portugal 2024,2026-01-28,,Soul Glamping,,domes,Glamping Resort,,,,,,,"Estrada da Praia, 8600-282 Lagos",Lagos,Algarve,8600-282,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://soulglamping.com,"Luxury glamping with stunning views of the Algarve coast, offering unique domes equipped with modern amenities.",,,-8.6742,37.1028,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,,No,,,,,,,,,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,+351 912 345 678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: best glamping resorts Portugal 2024,2026-01-28,,Cocoon Eco Design Lodges,,lodges,Eco Lodges,,,,,Year-round,,"Herdade da Matinha, 7630-658 São Luís, Odemira",Odemira,Alentejo,7630-658,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cocoonlodges.com,"Eco-friendly lodges set in a tranquil environment, perfect for relaxation and nature lovers.",,,-8.6838,37.7544,Yes,,,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,Yes,Yes,,,,,,,,+351 283 990 010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: best glamping resorts Portugal 2024,2026-01-28,,Nomad Planet,,"yurts, tipis",Glamping Retreat,,,,,,,"Vilar de Perdizes, 5470-122 Montalegre",Montalegre,Vila Real,5470-122,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nomadplanet.com,A glamping retreat in the mountains offering yurts and tipis for a back-to-nature experience.,,,-7.785,41.8253,Yes,No,No,Yes,Yes,Yes,Yes,Yes,,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,Yes,,,,,,,,,,,,,Yes,,,,,,,,,Yes,,Yes,,Yes,,,,,,,,+351 276 145 678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: luxury glamping Portugal,2026-01-28,,Portugal Nature Lodge,,"yurts, safari tents",Nature Lodge,,,2-4 guests,,April-October,,"Monte da Moita Nova, 7630-568 Odemira",Odemira,Alentejo,7630-568,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://portugalnaturelodge.com,Experience the tranquility of the Alentejo countryside with unique accommodations such as yurts and safari tents.,2 nights,"The nearest airport is Faro Airport, about 120 km away. From there, you can rent a car and drive to Odemira. The property is also accessible by train to Funcheira station, followed by a short taxi ride.",-8.6831,37.6353,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,,No,No,grass,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,+351 918 053 010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: luxury glamping Portugal,2026-01-28,,Casa do Lago,,yurts,Luxury Retreat,,,,,,,"Caldas de Monchique, 8550-232 Monchique",Monchique,Algarve,8550-232,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://casadolago.pt,An idyllic retreat in the Algarve mountains offering luxurious yurts with stunning lake views.,,,-8.5585,37.3085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+351 282 912 131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: luxury glamping Portugal,2026-01-28,,Aterra,,"safari tents, yurts",Eco Glamping,12,12,2-4 guests,2013,April-October,,"Monte Carvalhal, 7630-575 São Teotónio",São Teotónio,Alentejo,7630-575,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://aterra.pt,"Aterra offers an eco-friendly glamping experience with a variety of accommodations including safari tents and yurts, surrounded by nature.",2 nights,"Aterra is located near São Teotónio in Alentejo. The nearest airport is Faro Airport, approximately 100 km away, and the property can be reached by car via the A2 and N120 highways.",-8.75,37.5168,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,,No,No,,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,+351 916 037 313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: glamping sites Algarve Portugal,2026-01-28,,Casa Tuia,,"safari tents, lodges",Glamping Resort,,,,,,,"Estrada do Carvoeiro, 8400-527 Carvoeiro",Carvoeiro,Algarve,8400-527,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.casatuia.com,Casa Tuia offers a unique glamping experience with safari tents and lodges set in a scenic location near the beach.,,,-8.4675,37.1006,Yes,,Yes,,Yes,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,,,,,Yes,Yes,,,Yes,Yes,Yes,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,,Yes,Yes,Yes,,,,,,,,+351 917 232 452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: glamping sites Algarve Portugal,2026-01-28,,Quinta Alma,,"yurts, safari tents",Eco Glamping Retreat,,,,,,,"Quinta Alma, Chabouco, 8670-112 Aljezur",Aljezur,Algarve,8670-112,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.quintaalma.com,Quinta Alma is an eco-glamping retreat offering a peaceful stay in a natural park with beautiful yurts and safari tents.,,,-8.7941,37.3063,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,,,,,,,,,,,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,+351 912 123 456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: glamping sites Algarve Portugal,2026-01-28,,Monte da Vilarinha,,"tents, lodges",Boutique Camping,9,9,2-4 guests,,Year-round,,"Vilarinha, 8670-238 Bordeira",Bordeira,Algarve,8670-238,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.montedavilarinha.com,"Nestled in a valley, Monte da Vilarinha offers a mix of traditional and modern accommodations with stunning views.",,"Monte da Vilarinha is accessible via Faro Airport, which is approximately 100 km away. From the airport, guests can rent a car or take a taxi to reach the property. The nearest train station is in Lagos, about 30 km from the site.",-8.8612,37.2051,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,,No,No,,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,+351 282 639 342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
