duplicatenote,source,date_added,date_updated,property_name,site_name,unit_type,property_type,property__total_sites,quantity_of_units,unit_capacity,year_site_opened,operating_season__months_,__of_locations,address,city,state,zip_code,country,occupancy_rate_2024,avg__retail_daily_rate_2024,high_rate_2024,low_rate_2024,retail_daily_rate__fees__2024,revpar_2024,occupancy_rate_2025,retail_daily_rate_ytd,retail_daily_rate__fees__ytd,high_rate_2025,low_rate_2025,revpar_2025,high_month_2025,high_avg__occupancy_2025,low_month_2025,low_avg__occupancy_2025,operating_season__excel_format_,avg__rate__next_12_months_,high_rate__next_12_months_,low_rate__next_12_months_,winter_weekday,winter_weekend,spring_weekday,spring_weekend,summer_weekday,summer_weekend,fall_weekday,fall_weekend,url,description,minimum_nights,getting_there,lon,lat,toilet,hot_tub___sauna,pool,pets,water,shower,trash,cooking_equipment,picnic_table,wifi,laundry,campfires,playground,rv___vehicle_length,rv___parking,rv___accommodates_slideout,rv___surface_type,rv___surface_level,rv___vehicles__fifth_wheels,rv___vehicles__class_a_rvs,rv___vehicles__class_b_rvs,rv___vehicles__class_c_rvs,rv___vehicles__toy_hauler,fishing,surfing,horseback_riding,paddling,climbing,off_roading__ohv_,boating,swimming,wind_sports,snow_sports,whitewater_paddling,fall_fun,hiking,wildlife_watching,biking,ranch,beach,coastal,suburban,forest,field,wetlands,hot_spring,desert,canyon,waterfall,swimming_hole,lake,cave,redwoods,farm,river__stream__or_creek,mountainous,sage___p__amenity__food_on_site,waterfront,restaurant,dog_park,clubhouse,canoeing___kayaking,alcohol_available,golf_cart_rental,private_bathroom,waterpark,kitchen,patio,electricity,general_store,cable,charcoal_grill,sewer_hook_up,electrical_hook_up,generators_allowed,water_hookup,phone_number,google_website_uri,google_dine_in,google_takeout,google_delivery,google_serves_breakfast,google_serves_lunch,google_serves_dinner,google_serves_brunch,google_outdoor_seating,google_live_music,google_menu_uri,google_place_types,google_primary_type,google_primary_type_display_name,google_photos,google_icon_uri,google_icon_background_color,google_reservable,google_rating,google_user_rating_total,google_business_status,google_opening_hours,google_current_opening_hours,google_parking_options,google_price_level,google_payment_options,google_wheelchair_accessible_parking,google_wheelchair_accessible_entrance,google_wheelchair_accessible_restroom,google_wheelchair_accessible_seating,google_allows_dogs,slug,quality_score,google_place_id,is_glamping_property
,OpenAI Research: best glamping resorts Spain 2024,2026-01-28,,Forest Days Glamping,,luxury tents,Glamping Resort,5,5,2-4 guests,2015,April-October,,"Lladurs, Lleida, Catalonia",Lladurs,Catalonia,25283,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.forestdaysglamping.com,"Nestled in the Catalan countryside, Forest Days Glamping offers a serene escape with luxurious tents set amidst nature.",2 nights,"Forest Days Glamping is located near the town of Solsona in Catalonia. The nearest major airport is Barcelona-El Prat Airport, approximately 125 kilometers away. From there, guests can rent a car or take public transportation to reach the property.",1.5587,42.0514,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,,No,No,,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,+34 650 485 440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: best glamping resorts Spain 2024,2026-01-28,,Glamping Airstream Las Cabañitas,,Airstream trailers,Glamping Resort,,,,,,,"Camino de la Vega, s/n, Cabanillas del Campo, Guadalajara",Cabanillas del Campo,Castilla-La Mancha,19171,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.lascabanitas.com,Unique Airstream accommodations offering a retro-chic experience in the heart of Castilla-La Mancha.,,,-3.2034,40.6373,Yes,,,,Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,Yes,,,,,,,,+34 949 337 018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: best glamping resorts Spain 2024,2026-01-28,,Cabañas en los Árboles,,treehouses,Boutique Camping,10,10,2-4 guests,2012,Year-round,,"Barrio Ipinaburu, Zeanuri, Bizkaia",Zeanuri,Basque Country,48144,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.cabanasenlosarboles.com,Experience the magic of staying in treehouses nestled in the lush forests of the Basque Country.,2 nights,"The property is accessible by car, with the nearest major city being Bilbao, which has an international airport. From Bilbao, it is about a 40-minute drive to Zeanuri.",-2.7489,43.0651,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,,No,No,,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,+34 608 060 446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: best glamping resorts Spain 2024,2026-01-28,,Glamping Canonici di San Marco,,safari tents,Luxury Campground,,,,,,,"Marbella, Andalusia",Marbella,Andalusia,29600,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.glampingcanonici.com,Luxurious safari tents offering a blend of comfort and nature near the vibrant city of Marbella.,,,-4.8825,36.5101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+34 951 204 417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: best glamping resorts Spain 2024,2026-01-28,,Dreamsea Mediterranean Camp,,tents,Glamping Resort,,,2-4 guests,,April-October,,"Cala Blanca, Jávea, Alicante",Jávea,Valencian Community,03730,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.dreamseasurf.com,A beachfront glamping experience offering a mix of adventure and relaxation on the beautiful Mediterranean coast.,,"The closest airports are Alicante-Elche Airport and Valencia Airport, both approximately 100 km away. From the airport, guests can rent a car or take public transportation to reach Jávea.",0.1976,38.7471,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,,No,No,,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,+34 622 574 770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: luxury glamping España,2026-01-28,,Glamping Airstream Andalucía,,Airstream caravans,Luxury Campground,5,5,2-4 guests,,Year-round,,"Calle de la Oliva, Vejer de la Frontera, Cádiz",Vejer de la Frontera,Andalusia,11150,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.glampingairstreamandalucia.com,Unique Airstream accommodations set in a picturesque olive grove near the coast.,2 nights,"The nearest airport is Jerez Airport, approximately 80 km away. Vejer de la Frontera can be reached by car via the A-48 highway. The property is located a short drive from the town center.",-5.9678,36.2533,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,,No,No,,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,+34 620 937 610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: luxury glamping España,2026-01-28,,Cabanes als Arbres,,treehouses,Boutique Camping,10,10,2-4 guests,2009,Year-round,,"Veïnat de la Serra, Sant Hilari Sacalm, Girona",Sant Hilari Sacalm,Catalonia,17403,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.cabanesalsarbres.com,"Treehouse accommodations nestled in the forest, offering a tranquil escape.",2 nights,"The property is located near Sant Hilari Sacalm, accessible by car. The nearest major city is Girona, which has a train station and an airport offering domestic and international flights.",2.5053,41.8729,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,,No,No,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,+34 938 259 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: luxury glamping España,2026-01-28,,Dreamsea Surf Camp,,safari tents,Glamping Resort,,,,,April-October,,"Playa de la Espasa, Carretera AS-263, Llanes, Asturias",Llanes,Asturias,33590,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.dreamseasurfcamp.com,Combines luxury glamping with surf lessons on the beautiful northern coast of Spain.,,"The nearest major airport is Asturias Airport. From there, you can rent a car or take public transport to Llanes. The camp is accessible by road and is close to the coastline.",-4.8506,43.4315,Yes,,,,,Yes,,Yes,,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,Yes,Yes,,Yes,Yes,,Yes,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,Yes,,,,,,,,+34 633 832 000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: glamping sites Costa Brava Spain,2026-01-28,,Camping La Ballena Alegre,,"safari tents, bungalows",Glamping Resort,,,2-6 guests,,April-October,,"Ctra. de Sant Martí d'Empúries, s/n, 17470 Sant Pere Pescador, Girona",Sant Pere Pescador,Catalonia,17470,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ballena-alegre.com,"Located on the beach of Sant Pere Pescador, this glamping site offers luxurious safari tents and bungalows for a comfortable stay.",,"Camping La Ballena Alegre is accessible by car via the AP-7 motorway, taking exit 5 towards L'Escala. The nearest airports are Girona-Costa Brava Airport, approximately 45 minutes away, and Barcelona-El Prat Airport, about 1.5 hours away. The nearest train station is in Figueres, which connects to major cities in Spain and France.",3.1021,42.1911,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,10 meters,Yes,Yes,paved,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,+34 972 520 512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: glamping sites Costa del Sol Spain,2026-01-28,,Finca Fahala Glamping,,safari tents,Glamping Resort,,,,,,,"Camino de las Minas, 29120 Alhaurín el Grande, Málaga",Alhaurín el Grande,Andalusia,29120,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.fincafahala.com,"Finca Fahala offers a luxurious glamping experience amidst the beautiful Andalusian countryside, with safari tents equipped with modern amenities.",,,-4.6863,36.6466,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,,No,No,grass,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,+34 617 123456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
