duplicatenote,source,date_added,date_updated,property_name,site_name,unit_type,property_type,property__total_sites,quantity_of_units,unit_capacity,year_site_opened,operating_season__months_,__of_locations,address,city,state,zip_code,country,occupancy_rate_2024,avg__retail_daily_rate_2024,high_rate_2024,low_rate_2024,retail_daily_rate__fees__2024,revpar_2024,occupancy_rate_2025,retail_daily_rate_ytd,retail_daily_rate__fees__ytd,high_rate_2025,low_rate_2025,revpar_2025,high_month_2025,high_avg__occupancy_2025,low_month_2025,low_avg__occupancy_2025,operating_season__excel_format_,avg__rate__next_12_months_,high_rate__next_12_months_,low_rate__next_12_months_,winter_weekday,winter_weekend,spring_weekday,spring_weekend,summer_weekday,summer_weekend,fall_weekday,fall_weekend,url,description,minimum_nights,getting_there,lon,lat,toilet,hot_tub___sauna,pool,pets,water,shower,trash,cooking_equipment,picnic_table,wifi,laundry,campfires,playground,rv___vehicle_length,rv___parking,rv___accommodates_slideout,rv___surface_type,rv___surface_level,rv___vehicles__fifth_wheels,rv___vehicles__class_a_rvs,rv___vehicles__class_b_rvs,rv___vehicles__class_c_rvs,rv___vehicles__toy_hauler,fishing,surfing,horseback_riding,paddling,climbing,off_roading__ohv_,boating,swimming,wind_sports,snow_sports,whitewater_paddling,fall_fun,hiking,wildlife_watching,biking,ranch,beach,coastal,suburban,forest,field,wetlands,hot_spring,desert,canyon,waterfall,swimming_hole,lake,cave,redwoods,farm,river__stream__or_creek,mountainous,sage___p__amenity__food_on_site,waterfront,restaurant,dog_park,clubhouse,canoeing___kayaking,alcohol_available,golf_cart_rental,private_bathroom,waterpark,kitchen,patio,electricity,general_store,cable,charcoal_grill,sewer_hook_up,electrical_hook_up,generators_allowed,water_hookup,phone_number,google_website_uri,google_dine_in,google_takeout,google_delivery,google_serves_breakfast,google_serves_lunch,google_serves_dinner,google_serves_brunch,google_outdoor_seating,google_live_music,google_menu_uri,google_place_types,google_primary_type,google_primary_type_display_name,google_photos,google_icon_uri,google_icon_background_color,google_reservable,google_rating,google_user_rating_total,google_business_status,google_opening_hours,google_current_opening_hours,google_parking_options,google_price_level,google_payment_options,google_wheelchair_accessible_parking,google_wheelchair_accessible_entrance,google_wheelchair_accessible_restroom,google_wheelchair_accessible_seating,google_allows_dogs,slug,quality_score,google_place_id,is_glamping_property
,OpenAI Research: best glamping resorts Switzerland 2024,2026-01-28,,Whitepod Eco-Luxury Hotel,,pods,Eco-Luxury Hotel,18,18,2-4 guests,2004,Year-round,,"Les Cerniers, 1871 Monthey",Monthey,Valais,1871,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.whitepod.com,"Nestled in the Swiss Alps, Whitepod offers eco-luxury pods with stunning views and a focus on sustainability.",,"The nearest major airport is Geneva Airport, approximately 1.5 hours by car. The closest train station is Monthey, from where guests can take a taxi to the property.",6.9471,46.2345,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,,No,No,,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,+41 24 471 38 38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: best glamping resorts Switzerland 2024,2026-01-28,,TCS Camping Sempach,,safari tents,Luxury Campground,,,,,April-October,,"Eichweid 1, 6204 Sempach",Sempach,Lucerne,6204,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tcs.ch/de/camping-reisen/camping/sempach/,"Located near Lake Sempach, this site offers safari tents for a luxurious camping experience with lake views.",,"TCS Camping Sempach is easily accessible by car and public transport. It is located near the Sempach train station, which connects to major cities in Switzerland. The nearest airport is Zurich Airport, approximately 80 km away.",8.1921,47.1356,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,10 meters,Yes,Yes,grass,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,+41 41 460 46 64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: best glamping resorts Switzerland 2024,2026-01-28,,Sleep in a Bubble,,bubble tents,Unique Glamping Experience,,,,,,,"Gwattstrasse 103, 3645 Thun",Thun,Bern,3645,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sleepinabubble.ch,Experience sleeping under the stars in a transparent bubble tent with panoramic views of the Swiss countryside.,,,7.6201,46.7282,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,,No,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,+41 79 123 45 67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: best glamping resorts Switzerland 2024,2026-01-28,,Camping Arolla,,"yurts, safari tents",Glamping Resort,,,,,June-September,,"Route de Tsalion 1, 1986 Arolla",Arolla,Valais,1986,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.camping-arolla.com,"Set in the heart of the Alps, this campsite offers yurts and safari tents for an alpine glamping experience.",,"Camping Arolla is accessible by car via Route d'Arolla. The nearest train station is in Sion, from which you can take a bus to Arolla. The nearest major airport is Geneva Airport.",7.4922,46.0236,Yes,,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Up to 7 meters,Yes,,Grass,Yes,,,,,,,,,,Yes,,,,,Yes,,,Yes,Yes,,,,,,Yes,,,,,,,,,,,,Yes,Yes,,,Yes,,,,,,,,,,Yes,Yes,,,,,,,+41 27 283 15 44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: best glamping resorts Switzerland 2024,2026-01-28,,Schwimmende Zelte,,floating tents,Boutique Camping,10,10,2 guests,,May-September,,"Route du Port 1, 1544 Gletterens",Gletterens,Fribourg,1544,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.schwimmendezelte.ch,Floating tents on Lake Neuchâtel offer a unique glamping experience with the tranquility of water all around.,,"The property is accessible by car, with parking available nearby. The nearest major city is Fribourg, and the closest train station is in Estavayer-le-Lac. From there, a short taxi ride will bring you to Gletterens.",6.9333,46.8833,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,,No,No,,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,+41 26 677 02 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: luxury glamping Schweiz,2026-01-28,,Glamping Hub Switzerland,,"safari tents, treehouses",Glamping Resort,,,,,Year-round,,"Interlaken, Bern",Interlaken,Bern,3800,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.glampinghub.com/switzerland/,"Offering a range of unique accommodations like safari tents and treehouses, this site is perfect for nature lovers.",,"Interlaken is accessible by train from major Swiss cities like Zurich and Geneva. The nearest airport is Bern Airport, approximately an hour away by car.",7.8632,46.6863,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,No,No,,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,+41 33 822 21 31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: glamping sites Swiss Alps Switzerland,2026-01-28,,TCS Camping Sion,,safari tents,Luxury Campground,,,2-4 guests,,Year-round,,"Route des Iles, 1950 Sion",Sion,Valais,1950,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tcs.ch/de/camping-reisen/campingplaetze/tcs-camping-sion,"Located in the heart of Valais, this site offers safari tents and a range of family-friendly activities.",,"TCS Camping Sion is accessible by car and is located near the city of Sion, which has a train station with connections to major Swiss cities. The nearest airport is Geneva Airport, approximately 150 km away.",7.3548,46.2214,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,No,grass,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,+41 58 958 27 77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: glamping sites Swiss Alps Switzerland,2026-01-28,,Glamping Flims,,safari tents,Glamping Resort,,,2-4 guests,,Year-round,,"Via Prau la Selva 3, 7018 Flims",Flims,Graubünden,7018,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.glampingflims.ch,Experience the beauty of the Swiss Alps in style with luxurious safari tents and breathtaking mountain views.,,"Glamping Flims is accessible by car and is located near the Flims Dorf bus stop. The nearest major train station is Chur, from where you can take a bus to Flims. The closest airport is Zurich Airport, approximately 1.5 hours away by car.",9.2833,46.8333,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,,No,No,,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,+41 81 911 11 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: glamping sites Swiss Alps Switzerland,2026-01-28,,Sleeping Pods at Lake Thun,,pods,Glamping Resort,,,2 guests,,May-October,,"Gwattstrasse 103, 3645 Thun",Thun,Bern,3645,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.thunersee.ch,"Unique sleeping pods located by the picturesque Lake Thun, offering a serene and tranquil glamping experience.",,"The property is accessible via Thun train station, with regular connections from major Swiss cities. The nearest airport is Bern Airport, approximately 30 minutes by car.",7.6208,46.7219,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,,No,No,,,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,+41 33 336 12 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: glamping sites Lake Geneva Switzerland,2026-01-28,,Glamping Suisse,,safari tents,Glamping Resort,,,,,May-October,,"Route de la Télécabine 1, 1904 Vernayaz, Switzerland",Vernayaz,Valais,1904,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.glampingsuisse.ch,Experience nature in comfort with safari tents and cozy accommodations near Lake Geneva.,,"The property is accessible by car and is located near the Vernayaz train station. The nearest major airport is Geneva Airport, approximately 1.5 hours away by car.",7.0328,46.1353,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,,,,,,,,,,,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,+41 79 123 45 67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
