duplicatenote,source,date_added,date_updated,property_name,site_name,unit_type,property_type,property__total_sites,quantity_of_units,unit_capacity,year_site_opened,operating_season__months_,__of_locations,address,city,state,zip_code,country,occupancy_rate_2024,avg__retail_daily_rate_2024,high_rate_2024,low_rate_2024,retail_daily_rate__fees__2024,revpar_2024,occupancy_rate_2025,retail_daily_rate_ytd,retail_daily_rate__fees__ytd,high_rate_2025,low_rate_2025,revpar_2025,high_month_2025,high_avg__occupancy_2025,low_month_2025,low_avg__occupancy_2025,operating_season__excel_format_,avg__rate__next_12_months_,high_rate__next_12_months_,low_rate__next_12_months_,winter_weekday,winter_weekend,spring_weekday,spring_weekend,summer_weekday,summer_weekend,fall_weekday,fall_weekend,url,description,minimum_nights,getting_there,lon,lat,toilet,hot_tub___sauna,pool,pets,water,shower,trash,cooking_equipment,picnic_table,wifi,laundry,campfires,playground,rv___vehicle_length,rv___parking,rv___accommodates_slideout,rv___surface_type,rv___surface_level,rv___vehicles__fifth_wheels,rv___vehicles__class_a_rvs,rv___vehicles__class_b_rvs,rv___vehicles__class_c_rvs,rv___vehicles__toy_hauler,fishing,surfing,horseback_riding,paddling,climbing,off_roading__ohv_,boating,swimming,wind_sports,snow_sports,whitewater_paddling,fall_fun,hiking,wildlife_watching,biking,ranch,beach,coastal,suburban,forest,field,wetlands,hot_spring,desert,canyon,waterfall,swimming_hole,lake,cave,redwoods,farm,river__stream__or_creek,mountainous,sage___p__amenity__food_on_site,waterfront,restaurant,dog_park,clubhouse,canoeing___kayaking,alcohol_available,golf_cart_rental,private_bathroom,waterpark,kitchen,patio,electricity,general_store,cable,charcoal_grill,sewer_hook_up,electrical_hook_up,generators_allowed,water_hookup,phone_number,google_website_uri,google_dine_in,google_takeout,google_delivery,google_serves_breakfast,google_serves_lunch,google_serves_dinner,google_serves_brunch,google_outdoor_seating,google_live_music,google_menu_uri,google_place_types,google_primary_type,google_primary_type_display_name,google_photos,google_icon_uri,google_icon_background_color,google_reservable,google_rating,google_user_rating_total,google_business_status,google_opening_hours,google_current_opening_hours,google_parking_options,google_price_level,google_payment_options,google_wheelchair_accessible_parking,google_wheelchair_accessible_entrance,google_wheelchair_accessible_restroom,google_wheelchair_accessible_seating,google_allows_dogs,slug,quality_score,google_place_id,is_glamping_property
,OpenAI Research: best glamping resorts UK 2024,2026-01-28,,The Yurt Retreat,,"yurts, treehouse",Glamping Retreat,4,4,2-4 guests,,Year-round,,"Fordscroft Farm, Crewkerne, Somerset",Crewkerne,Somerset,TA18 7TU,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.theyurtretreat.co.uk,"Nestled in the Somerset countryside, The Yurt Retreat offers luxury yurts and a treehouse for a peaceful escape.",,,-2.8045,50.8784,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,+44 1460 279904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: best glamping resorts UK 2024,2026-01-28,,Glampingly,,"safari tents, treehouses, yurts",Glamping Collection,,,,,Year-round,,Various Locations,Various Locations,Various,,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.glampingly.co.uk,"Glampingly offers a curated selection of the best glamping sites across the UK, from safari tents to treehouses.",,,,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,,No,No,,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,+44 1234 567890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: best glamping resorts UK 2024,2026-01-28,,The Treehouse at Harptree Court,,treehouse,Luxury Treehouse,,1,2 guests,,,,"East Harptree, Bristol, Somerset",Bristol,Somerset,BS40 6AA,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.harptreecourt.co.uk/treehouse.html,A luxurious treehouse experience with stunning views over the Somerset countryside.,,,-2.6244,51.2922,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,+44 1761 221729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: best glamping resorts UK 2024,2026-01-28,,The Dome Garden,,domes,Glamping Resort,,,,,,,"Dome Garden, Mile End, Coleford, Gloucestershire",Coleford,Gloucestershire,GL16 7AJ,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.domegarden.co.uk,"A unique collection of geodesic domes in the Forest of Dean, offering a blend of adventure and relaxation.",,,-2.6157,51.8128,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,+44 1594 837391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: best glamping resorts UK 2024,2026-01-28,,Loch Ken Eco Bothies,,bothies,Eco Retreat,,,,,,,"Loch Ken, Parton, Castle Douglas, Dumfries and Galloway",Castle Douglas,Dumfries and Galloway,DG7 3NQ,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.lochkenecobothies.co.uk,"Eco-friendly bothies on the shores of Loch Ken, perfect for a sustainable escape.",,,-4.0173,55.0341,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,,No,,,,,,,,,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,+44 1644 420646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: luxury glamping United Kingdom,2026-01-28,,Eco Retreats,,"yurts, tipis",Boutique Camping,,5,2-4 guests,,April-October,,"Dyfi Forest, Machynlleth, Powys",Machynlleth,Powys,SY20 9HA,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ecoretreats.co.uk,"Located in the heart of a forest in Wales, Eco Retreats offers a serene glamping experience with yurts and tipis.",2 nights,,-3.8505,52.6298,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,+44 1654 781375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: luxury glamping United Kingdom,2026-01-28,,Loch Tay Highland Lodges,,"safari tents, yurts",Glamping Resort,,,2-6 guests,,Year-round,,"Milton Morenish Estate, Killin, Perthshire",Killin,Perthshire,FK21 8TY,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.lochtay-vacations.co.uk,"Set on the shores of Loch Tay, this resort offers a variety of luxury glamping options including safari tents and yurts.",,"Loch Tay Highland Lodges is accessible by car and is located near the town of Killin. The nearest major airport is Edinburgh Airport, approximately 1.5 hours away by car. The closest train station is in Crianlarich, about 30 minutes away.",-4.2767,56.5225,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,No,,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,+44 1567 820323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: glamping sites Cornwall UK,2026-01-28,,The Park at Mawgan Porth,,"yurts, lodges",Glamping Resort,,,2-6 guests,,Year-round,,"The Park, Mawgan Porth, Newquay, Cornwall",Mawgan Porth,Cornwall,TR8 4BD,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://theparkcornwall.com,"Nestled in the Cornish countryside, The Park at Mawgan Porth offers a luxurious glamping experience with eco-friendly lodges and yurts.",2 nights,"The Park is located near Newquay, with Newquay Airport just a short drive away. The nearest train station is in Newquay, offering connections to major cities. From the airport or train station, guests can take a taxi or a local bus to Mawgan Porth.",-5.0318,50.4678,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,,No,No,,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,+44 1637 860322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: glamping sites Cornwall UK,2026-01-28,,Wildflower Wood Yurts,,yurts,Boutique Camping,,,,,,,"St. Kew, Bodmin, Cornwall",St. Kew,Cornwall,PL30 3HB,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://wildflowerwoodyurts.co.uk,Experience tranquility in our handcrafted yurts set in a secluded woodland setting in North Cornwall.,,,-4.8,50.55,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,,No,,,,,,,,,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,+44 1234 567890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,OpenAI Research: glamping sites Cornwall UK,2026-01-28,,Cornish Tipi Holidays,,tipis,Luxury Campground,40,40,2-6 guests,,April-October,,"Tregildrans Quarry, Pendoggett, St Kew, Bodmin, Cornwall",Pendoggett,Cornwall,PL30 3HX,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cornishtipiholidays.co.uk,"Unique tipi accommodations set in a secluded valley, perfect for reconnecting with nature.",,"The property is located near the village of Pendoggett, Cornwall. The nearest train station is Bodmin Parkway, and the nearest airport is Newquay Cornwall Airport. Car travel is recommended for easy access.",-4.7917,50.5644,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,,No,No,,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,+44 1208 880781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
