state,hipcamp_cabin_sites,sites_with_usable_occ_2025,avg_occ_2025_pct,avg_occ_2024_pct,avg_adr_2025,avg_revpar_2025,typical_high_month_2025,typical_low_month_2025
South Dakota,158,138,66.4,64.8,180,93,December,May
Ohio,170,117,56.0,60.8,170,94,December,January
Minnesota,73,66,56.0,57.9,145,84,December,September
Michigan,173,142,54.7,52.1,151,85,July,September
Indiana,70,30,54.4,61.8,222,64,August,August
Wisconsin,137,85,51.3,45.9,124,69,December,May
Kansas,49,41,49.6,39.5,165,80,October,October
Missouri,130,73,46.7,60.5,133,65,December,April
Illinois,30,17,46.1,51.4,116,72,December,March
Iowa,53,37,43.2,35.5,103,42,January,July
Nebraska,13,8,32.4,,135,49,February,April
Midwest (all),1056,754,54.7,56.2,155,80,,
US (all),6986,4809,50.4,55.7,176,87,,
