queue,id,property_id,property_name,site_name,city,state,url,is_open,property_type,land_operator_category,quantity_of_units,canonical_from_site_name,sibling_unit_types
property_shell,12350,4b20e899-9c60-4ab3-8cd2-19a39a767733,#1 Rock Tavern River Kamp,,Luray,VA,https://www.glamping.com/destination/north-america/virginia/luray/1-rock-tavern-river-kamp/,Yes,Glamping Resort,private_commercial,,,
named_site,12961,c390f3ea-e9f7-42f3-8d51-72c83d2c65fa,Afton Glamping Site,Glamping site,Afton,NY,,No,Glamping Resort,private_commercial,3,,
state_park_placeholder,11764,d515dee5-3708-4aa1-8eb3-8c763215b7b1,Allaire State Park,Allaire State Park,Wall Township,NJ,https://www.nj.gov/dep/parksandforests/parks/allaire.html,Yes,Glamping,state_park,,,
property_shell,10863,74efe3e7-e269-4efa-b680-eb4d592e9baa,Aman Camp Sarika,,Canyon Point,UT,https://www.aman.com/resorts/amangiri/camp-sarika,Yes,Campground,,,,
property_shell,12353,d7188cbc-9a6a-4ebc-8753-a8abcc8a4d19,Apple Creek Whitetails,,Gillett,WI,https://www.glamping.com/destination/north-america/wisconsin/gillett/apple-creek-whitetails/,Yes,Glamping Resort,private_commercial,,,
proposed_placeholder,13001,334e5540-2dc9-4a45-8236-030ebe2dfc2b,AutoCamp Grand Canyon (Cooper Ranch),Proposed campsites — not built,Williams,AZ,https://www.flagstaffbusinessnews.com/autocamp-proposing-boutique-airstream-campground-near-williams/,Cancelled,Glamping Resort,private_commercial,150,,
named_site,13398,c4748e90-e593-41d5-8011-95aea1d7326a,AutoCamp Sedona,Standalone Tent,Sedona,AZ,https://keepsedonabeautiful.org/wp-content/uploads/2020/09/Appendix-A-AutoCamp-Letter-of-Intent-Yavapai-Development-Preliminary-Code-Review.pdf,Cancelled,Glamping Resort,private_commercial,5,,Airstream; Park Model
named_site,12996,117953bc-6664-4b32-b63a-947eb9748afb,Bayocean Park Resort,Seasonal luxury tent,Bay City,OR,https://oregoncoastalliance.org/documents_14/bayocean_spit/Bayocean_Park_Design_Proposal_Mar14.pdf,Cancelled,Glamping Resort,private_commercial,25,,
state_park_placeholder,11750,1fd9631f-9be0-460b-8b3b-38665f09df29,Bear Mountain State Park,Bear Mountain State Park,Bear Mountain,NY,https://parks.ny.gov/parks/bearmountain/,Yes,Glamping,state_park,,,
state_park_placeholder,11741,56ac2ffe-a526-48bb-bb64-0050b11f0fc3,Big Ridge State Park,Big Ridge State Park,Maynardville,TN,https://tnstateparks.com/parks/big-ridge,Yes,Glamping,state_park,,,
property_shell,10673,b9d265f9-2853-4a93-b24a-061e14b274d9,Black Hills Glamping,,Rapid City,SD,https://www.glampingblackhills.com/,Yes,Glamping,,,,
state_park_placeholder,11774,beab90d5-7c62-421d-821b-1021bb4335ec,Black Rock State Park,Black Rock State Park,Watertown,CT,https://portal.ct.gov/DEEP/State-Parks/Parks/Black-Rock-State-Park,Yes,Glamping,state_park,,,
property_shell,11595,cfadc6b0-905b-4d01-ac51-1e5f8efcd3c6,Bliss Camps Glamping (Rocky Mountain Glamping),,Lyons,CO,https://blisscamps.com/,Yes,Glamping,,,,RV Site; Safari Tent; Teardrop trailer; Vardo
property_shell,10847,f8a24d87-aebc-4a05-83b4-5d7124519036,Blue Bear Mountain Camp,,Todd,NC,https://www.bluebearmountain.com/,Yes,Glamping,,,,
state_park_placeholder,11759,4dbc6806-9864-429b-8f4a-cdb3181e6d7c,Bradbury Mountain State Park,Bradbury Mountain State Park,Pownal,ME,https://www.maine.gov/dacf/parks/bradbury_mountain_sp/index.shtml,Yes,Glamping,state_park,,,
state_park_placeholder,11734,afaee746-b5e2-4b56-be73-60346ecc2ec2,Brown County State Park (Abe Martin Lodge),Brown County State Park,Nashville,IN,https://www.in.gov/dnr/state-parks/parks-lakes/brown-county-state-park/,Yes,Glamping,state_park,,,
state_park_placeholder,11731,d7f9905a-617b-420f-bd01-afdf52e92a76,Bruneau Dunes State Park,Bruneau Dunes State Park,Bruneau,ID,https://parksandrecreation.idaho.gov/parks/bruneau-dunes,Yes,Glamping,state_park,,,
state_park_placeholder,11719,6b3d2d42-f141-473e-ae67-c22d4ddbe549,Buccaneer State Park,Buccaneer State Park,Waveland,MS,https://www.mdwfp.com/parks-destinations/state-parks/buccaneer,Yes,Glamping,state_park,,,
state_park_placeholder,11758,a90331d0-e84c-451c-9ca2-f63fbf2856b0,Camden Hills State Park,Camden Hills State Park,Camden,ME,https://www.maine.gov/dacf/parks/camden_hills_sp/index.shtml,Yes,Glamping,state_park,,,
state_park_placeholder,11765,a5cc2451-47ca-4295-9e43-0ef4e71fbf36,Cape Henlopen State Park,Cape Henlopen State Park,Lewes,DE,https://destateparks.com/Beaches/CapeHenlopen,Yes,Glamping,state_park,,,
property_shell,10861,f8f8501e-858a-4d89-946b-995afa5348ac,Catalina Island Camp,,Catalina Island,CA,https://catalinaislandcamps.com/,Yes,Glamping,,,,
state_park_placeholder,11722,3b84be1a-1900-4826-b2b3-106203e2d5f6,Chain O'Lakes State Park,Chain O'Lakes State Park,Spring Grove,IL,https://www2.illinois.gov/dnr/Parks/Pages/ChainOLakes.aspx,Yes,Glamping,state_park,,,
property_shell,11336,3a163eb6-4e93-4590-9939-914109b5038e,Chilhowee Mountain Retreat,,Maryville,TN,https://www.chilhoweemountainretreat.com,Closed,Outdoor Boutique Hotel,,,,
state_park_placeholder,11708,df56f6ef-7c66-4d73-aa87-002012e28d58,Cliffs of the Neuse State Park,Cliffs of the Neuse State Park,Seven Springs,NC,https://www.ncparks.gov/state-parks/cliffs-neuse-state-park,Yes,Glamping,state_park,,,
state_park_placeholder,11736,67a3f3f6-c553-4735-a66e-816c3b2eb92d,Clifty Falls State Park Inn,Clifty Falls State Park Inn,Madison,IN,https://www.in.gov/dnr/state-parks/parks-lakes/clifty-falls-state-park/,Yes,Glamping,state_park,,,
property_shell,12302,7595422f-257b-4506-b22a-eef9bee4e9ea,Collective Retreats Hudson Valley,,Ghent,NY,https://www.collectiveretreats.com/retreat/collective-hudson-valley/,Closed,Glamping,private_commercial,,,
property_shell,12316,bbe419c9-6b8e-4456-8e49-f08518c30da2,Colorado Rafting Tours Royal Gorge Adventure Beach,,Canon City,CO,https://www.glamping.com/destination/north-america/colorado/canon-city/colorado-rafting-tours-royal-gorge-adventure-beach/,Yes,Glamping Resort,private_commercial,,,
property_shell,12977,b41e8a20-d742-40d6-a826-b4d6858b110c,Copacabana Campground,,Scranton,PA,https://www.thetimes-tribune.com/2026/02/02/monday-update-glamping-style-campground-copacabana-still-under-development-in-scranton/,Proposed Development,Glamping,private_commercial,40,,
property_shell,12347,53082848-fbd4-4bd2-890d-09b60c191903,Country Woods Inn,,Glen Rose,TX,https://www.glamping.com/destination/north-america/texas/glen-rose/country-woods-inn/,Yes,Glamping Resort,private_commercial,,,
state_park_placeholder,11772,e47dd88b-366f-40aa-aa18-86b6eaf33171,Crawford Notch State Park,Crawford Notch State Park,Harts Location,NH,https://www.nhstateparks.org/visit/state-parks/crawford-notch-state-park.html,Yes,Glamping,state_park,,,
state_park_placeholder,11696,c3405b66-c886-4954-ba73-4f68b95b92b5,DeSoto State Park (Lodge & Chalets),DeSoto State Park,Fort Payne,AL,https://www.alapark.com/parks/desoto-state-park,Yes,Glamping,state_park,,,
proposed_placeholder,12991,84317f6f-f19d-4ad0-9e63-077add748ed8,Dream Away Lodge Glamping Resort,Proposed tents and cabins — not built,Becket,MA,https://www.berkshireeagle.com/news/southern_berkshires/becket-planning-board-glamping-project-drops-application/article_2708534a-f35b-11ec-8810-9be1cc4e59a9.html,Cancelled,Glamping,private_commercial,100,,
proposed_placeholder,13003,84317f6f-f19d-4ad0-9e63-077add748ed8,Dream Away Lodge Glamping Resort,Proposed tents and cabins — not built,Becket,MA,https://www.berkshireeagle.com/news/southern_berkshires/becket-planning-board-glamping-project-drops-application/article_2708534a-f35b-11ec-8810-9be1cc4e59a9.html,Cancelled,Glamping,private_commercial,,,
property_shell,10842,838cd515-c12c-4111-9d41-1e0d28fafa95,Dunton Hot Springs,,Dolores,CO,https://www.duntondestinations.com/hot-springs,Yes,Glamping,,,,
property_shell,12326,f0817133-c65d-4aaf-9919-2de7b86d9e77,Eagle Lake Sporting Camps,,Eagle Lake,ME,https://www.eaglelake.com/,Yes,Glamping Resort,private_commercial,,,
named_site,9541,a626b032-26fe-47a7-a581-ce406ec1d572,Echo Canyon Campground,Deluxe Glamping Tent,Cañon City,CO,,Closed,Glamping,,,,
state_park_placeholder,11703,26dfd645-c716-4eeb-81e4-da37fd764d1d,Edisto Beach State Park,Edisto Beach State Park,Edisto Island,SC,https://southcarolinaparks.com/edisto-beach,Yes,Glamping,state_park,,,
state_park_placeholder,11770,e2a1aee1-d8d8-423e-8671-8c63cf752d88,Ellacoya State Park,Ellacoya State Park,Gilford,NH,https://www.nhstateparks.org/visit/state-parks/ellacoya-state-park.html,Yes,Glamping,state_park,,,
property_shell,12324,dda6d0f7-2563-4e29-b9ed-ad78c8f6ece5,Elysium Woods,,Sandpoint,ID,https://www.elysiumwoods.com/,Yes,Glamping Resort,private_commercial,,,
property_shell,11326,c6519775-3af7-4485-a367-64b6b3db19cd,Enchantment Resort,,Sedona,AZ,https://www.enchantmentresort.com,Yes,Landscape Hotel,,,,
