id,research_segment,property_name,site_name,city,state,zip_code,country,url,lat,lon,distance_miles,distance_band,nearest_anchor,drive_time_hours,unit_type,property_type,quantity_of_units,property_total_sites,brand_id,is_open,research_status,discovery_source,rate_avg_retail_daily_rate,rate_winter_weekday,rate_winter_weekend,rate_spring_weekday,rate_spring_weekend,rate_summer_weekday,rate_summer_weekend,rate_fall_weekday,rate_fall_weekend,rate_unit_rates_by_year,cohort_winter_weekday,cohort_winter_weekend,cohort_summer_weekday,cohort_summer_weekend,has_url,rate_definition
11945,winter_missing_has_summer_only,Amangani,Grand Teton Suite,Jackson,WY,,United States,https://www.aman.com/resorts/amangani/accommodation/suites,43.479,-110.762,0.5,0-15,Snow King Mountain,0,Suite,Landscape Hotel,,40,,Yes,rejected,web_research_2026_05_landscape_hotels_4_pillars,2466.67,,,2200,,2850,,2350,,,,,2850,,true,winter_weekday_or_weekend
75,winter_missing_no_seasonal,Treehouse Retreat,,Whistler,BC,V0N 1B4,Canada,https://treehouseretreatbc.com,50.1163,-122.9574,0.5,0-15,Whistler Blackcomb,0,Treehouse,Glamping,6,6,,Yes,in_progress,OpenAI Research - Treehouses,,,,,,,,,,,,,,,true,winter_weekday_or_weekend
119,winter_missing_no_seasonal,Yurt Adventure,,Banff,AB,T1L 1A1,Canada,https://www.yurtadventure.com,51.1784,-115.5708,2.1,0-15,Mount Norquay,0.1,Yurt,Glamping,15,15,,Yes,in_progress,OpenAI Research - Yurts,,,,,,,,,,,,,,,true,winter_weekday_or_weekend
10690,winter_missing_has_summer_only,Boulder Mountain Resort,Two Bedroom Cabin,Revelstoke,BC,,Canada,https://bouldermountainresort.ca,50.9913465,-118.2629306,5.4,0-15,Revelstoke Mountain Resort,0.2,Tiny Home,Glamping,4,46,,Yes,published,Sage,340,,,231,320,389,420,,,"{""2025"":{""fall"":{""weekday"":null,""weekend"":null},""spring"":{""weekday"":231,""weekend"":320},""summer"":{""weekday"":389,""weekend"":420},""winter"":{""weekday"":null,""weekend"":null}}}",,,389,420,true,winter_weekday_or_weekend
11458,winter_missing_no_seasonal,Eastwind Oliverea Valley,,Big Indian,NY,12410,United States,https://eastwindhotels.com/oliverea-valley/,42.0545,-74.4712,6.1,0-15,Belleayre Mountain,0.2,Cabin,Glamping,26,,,Yes,published,Tavily Search (Canada); web_research_hot_tub_2026_05_27,,,,,,,,,,,,,,,true,winter_weekday_or_weekend
91,winter_missing_no_seasonal,Mont Tremblant Safari Retreat,,Mont-Tremblant,QC,J8E 1S5,Canada,https://www.monttremblantsafariretreat.com,46.1185,-74.5962,6.6,0-15,Mont Tremblant,0.2,Safari Tent,Glamping,12,12,,Yes,in_progress,OpenAI Research - Safari Tents,,,,,,,,,,,,,,,true,winter_weekday_or_weekend
10511,winter_missing_has_summer_only,Elk Lake Resort,Cabin for 8,Bend,OR,97701,United States,https://elklakeresort.net/,43.9807986,-121.8076438,6.7,0-15,Mt. Bachelor,0.2,Cabin,Glamping,4,19,,Yes,published,Sage; web_research_sauna_2026_05_27; web_research_hot_tub_2026_05_28,339,,,339,339,339,339,,,"{""2025"":{""fall"":{""weekday"":null,""weekend"":null},""spring"":{""weekday"":339,""weekend"":339},""summer"":{""weekday"":339,""weekend"":339},""winter"":{""weekday"":null,""weekend"":null}}}",,,339,339,true,winter_weekday_or_weekend
68,winter_missing_no_seasonal,Treehouse Lodge,,,,,Peru,https://www.treehouselodge.com,43.2156,-72.8784,7.2,0-15,Stratton Mountain Resort,0.2,Treehouse,Glamping,5,5,,Yes,published,OpenAI Research - Treehouses,,,,,,,,,,,,,,,true,winter_weekday_or_weekend
10139,winter_missing_has_summer_only,Moose Creek Ranch,Glamping Cabins,Victor,ID,83455,United States,https://www.moosecreekranch.com/,43.563849,-111.058731,8.6,0-15,Jackson Hole Mountain Resort,0.3,Safari Tent,Glamping,5,31,,Yes,published,Sage,182.33,,,139,149,259,,,,"{""2025"":{""fall"":{""weekday"":null,""weekend"":null},""spring"":{""weekday"":139,""weekend"":149},""summer"":{""weekday"":259,""weekend"":null},""winter"":{""weekday"":null,""weekend"":null}}}",,,259,,true,winter_weekday_or_weekend
43,winter_missing_no_seasonal,Refuge du Faubourg,,St-Faustin-Lac-Carré,QC,J0T 1J2,Canada,https://www.refugedufaubourg.com,46.0952,-74.4836,9.5,0-15,Mont Tremblant,0.3,Treehouse,Glamping,7,7,,Yes,in_progress,OpenAI Research - Treehouses,,,,,,,,,,,,,,,true,winter_weekday_or_weekend
9779,winter_missing_has_summer_only,Lawson Adventure Park,Yurts,Dumont,CO,80436,United States,https://lawsonadventurepark.com/,39.7624187,-105.6396567,10.8,0-15,Winter Park Resort,0.4,Yurt,Glamping,4,12,,Yes,published,Sage,122.33,,,124,129,114,,,,"{""2025"":{""fall"":{""weekday"":null,""weekend"":null},""spring"":{""weekday"":124,""weekend"":129},""summer"":{""weekday"":114,""weekend"":null},""winter"":{""weekday"":null,""weekend"":null}}}",,,114,,true,winter_weekday_or_weekend
135,winter_missing_no_seasonal,Rocky Mountain Domes,,Canmore,AB,T1W 1P1,Canada,https://rockymountaindomes.com,51.0899,-115.3598,13,0-15,Mount Norquay,0.4,Dome,Glamping,9,9,,Yes,in_progress,OpenAI Research - Domes,,,,,,,,,,,,,,,true,winter_weekday_or_weekend
92,winter_missing_no_seasonal,Rocky Mountain Safari Camp,,Canmore,AB,T1W 2H1,Canada,https://www.rockymountainsafaricamp.com,51.0899,-115.3593,13,0-15,Mount Norquay,0.4,Safari Tent,Glamping,15,15,,Yes,in_progress,OpenAI Research - Safari Tents,,,,,,,,,,,,,,,true,winter_weekday_or_weekend
9850,winter_missing_has_summer_only,Mountain Goat Lodge,Retro Campers,Salida,CO,81201,United States,https://www.mountaingoatlodge.com/,38.5586032,-106.0829916,13.8,0-15,Monarch Mountain,0.5,Vintage Trailer,Glamping,4,7,,Yes,published,Sage; web_research_hot_tub_2026_05_28,157,,,145,169,145,169,,,"{""2025"":{""fall"":{""weekday"":null,""weekend"":null},""spring"":{""weekday"":145,""weekend"":169},""summer"":{""weekday"":145,""weekend"":169},""winter"":{""weekday"":null,""weekend"":null}}}",,,145,169,true,winter_weekday_or_weekend
10175,winter_missing_has_summer_only,Under Canvas Glacier,Suite Tent,Coram,MT,59913,United States,https://www.undercanvas.com/camps/glacier/,48.44265,-114.0355893,14.5,0-15,Whitefish Mountain Resort,0.5,Safari Tent,Glamping,18,60,2a78831f-3c15-4b52-b5a3-6c249f6a86a3,Yes,published,Sage; web_research_sauna_2026_05_27; web_research_hot_tub_2026_05_27,634,,,529,635,698,820,508,614,"{""2025"":{""fall"":{""weekday"":null,""weekend"":null},""spring"":{""weekday"":null,""weekend"":null},""summer"":{""weekday"":659,""weekend"":659},""winter"":{""weekday"":null,""weekend"":null}}}",,,698,820,true,winter_weekday_or_weekend
