property_name,City,State,Job Number,location_context,resort_category,website_url,date_opened,operational_status,google_maps_url,matched_place_name,Google Review,Number of Reviews,Year of First Review,notes
23-179A-05,Centre,AZ,23-179A-05,"Centre, AZ",Glamping resort,,,,,,,,,Skipped Google lookup — property name looks like bad import or non-property
23-250A-09,Sandusky,OH,23-250A-09,"Sandusky, OH",Glamping resort,,,,,,,,,Skipped Google lookup — property name looks like bad import or non-property
23-296A-12,Stone Mountain,GA,23-296A-12,"Stone Mountain, GA",Glamping resort,,,,,,,,,Skipped Google lookup — property name looks like bad import or non-property
25-107A-01,,CO,25-107A-01,CO,Glamping resort,,,,,,,,,Skipped Google lookup — property name looks like bad import or non-property
25-138A-03,,CO,25-138A-03,CO,Glamping resort,,,,,,,,,Skipped Google lookup — property name looks like bad import or non-property
25-138B-03,Cadillac,MI,25-138B-03,"Cadillac, MI",Glamping resort,,,,,,,,,Skipped Google lookup — property name looks like bad import or non-property
Abide RV Resort,Cragford,AL,23-156A-04,"Cragford, AL",RV Resort,,,,,Abide Rv Resort Campground,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Abide Rv Resort Campground"""
Allatoona Landing Resort,Cartersville,GA,24-102A-01,"Cartersville, GA",Glamping resort,,,,,Allatoona Landing Marine Resort,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Allatoona Landing Marine Resort"""
Amici Resorts,Altamont,TN,24-194A-06,"Altamont, TN",Glamping resort,,,,,The Smokehouse Lodge & Cabins,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""The Smokehouse Lodge & Cabins"""
ANAWAY PLACE,Richland Center,WI,23-283A-11,"Richland Center, WI",Glamping resort,http://anaway.com/,,Open (OPERATIONAL),https://maps.google.com/?cid=3105071992767937261&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Anaway Place,4.7,130,2025,
Arbor Camp,Ellsworth,ME,23-286A-11,"Ellsworth, ME",Glamping resort,https://arborcamp.com/,,Open (OPERATIONAL),https://maps.google.com/?cid=15894034275584257008&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Arbor Camp,5,10,2025,
Arbor Camp Glamping Resort,Ellsworth,ME,24-208A-07,"Ellsworth, ME",Glamping resort,,,,,Arbor Camp,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Arbor Camp"""
are its remote location,Bledsoe County,TN,23-220A-08,"Bledsoe County, TN",Glamping resort,,,,,,,,,Skipped Google lookup — property name looks like bad import or non-property
ARG		Pegasus Landing			GA	Proposed Luxury RV Park,Grants Pass,OR,23-228A-08,"Grants Pass, OR",Glamping resort,,,,,,,,,Skipped Google lookup — property name looks like bad import or non-property
Arkansas River Retreat,Salida,CO,24-127A-03,"Salida, CO",Glamping resort,,,,,,,,,No Google Places match for search query
Arrowhead RV Resort,Carson City,NV,23-102A-01,"Carson City, NV",RV Resort,,,,,Carson RV Resort,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Carson RV Resort"""
Arroyos Preserve RV Resort,La Paz Valley,AZ,20-309A-09,"La Paz Valley, AZ",RV Resort & Glamping,,,,,La Paz Valley RV Park,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""La Paz Valley RV Park"""
Ashland/Huntington KOA,Argillite,KY,ARG-ashland-huntington-koa-argillite-ky-ky,"Argillite, KY",RV Resort,,,,,Ashland / Huntington West KOA Holiday,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Ashland / Huntington West KOA Holiday"""
Banderas Point,Frankfort,IN,23-128A-02,"Frankfort, IN",RV Resort & Glamping,,,,,Frankfort,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Frankfort"""
Basecamp Parks,Weed,CA,23-246A-09,"Weed, CA",Glamping resort,,,,,Basecamp Lodge,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Basecamp Lodge"""
Bashfully Bold Barn,Fountain Inn,SC,22-205A-06,"Fountain Inn, SC",Glamping resort,,,,,Belleview Meadows,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Belleview Meadows"""
Bella Terra Resort,Foley,AL,ARG-bella-terra-resort-foley-al-al,"Foley, AL",RV Resort,,,,,Bella Terra RV Resort,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Bella Terra RV Resort"""
"Bellaire, MI Glamping Market Analysis",Bellaire,MI,25-271A-08,"Bellaire, MI",Glamping resort,,,,,Spillway Lodges,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Spillway Lodges"""
Belle Cypress RV Resort,Avondale,LA,17-128A-05,"Avondale, LA",RV Resort,,,,,Cypressland RV Park,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Cypressland RV Park"""
Benton County RV Resort,Siloam Springs,AR,21-106A-02,"Siloam Springs, AR",RV Resort,,,,,Lazy B RV Park,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Lazy B RV Park"""
Bienville RV Resort,White Springs,FL,20-102A-01,"White Springs, FL",RV Resort,,,,,Suwannee Valley Resort LLC,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Suwannee Valley Resort LLC"""
Blue Sky San Marcos,,,24-302A-12,"6050 S Interstate 35 Frontage Rd, San Marcos, Texas 78666",Other,,,,,Canyon Trail RV Park,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Canyon Trail RV Park"""
Bouie River RV Resort,Hattiesburg,MS,25-103A-01,"Hattiesburg, MS",Glamping resort,,,,,Longleaf Piney Resort,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Longleaf Piney Resort"""
Bradford Run,Aguanga,CA,19-180A-09,"Aguanga, CA",RV Resort,,,,,Bradford Run (Formerly Cowboy Country Campground),,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Bradford Run (Formerly Cowboy Country Campground)"""
Broadriver Campground,Mooresboro,NC,23-114A-02,"Mooresboro, NC",RV Resort,,,,,Broad River Campground,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Broad River Campground"""
Buckeye RV Park,Buckeye,AZ,17-121A-03,"Buckeye, AZ",RV Resort,,,,,Buckeye Ranch RV Resort,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Buckeye Ranch RV Resort"""
Camp Margaritaville San Marcos,San Marcos,TX,25-203A-05,"San Marcos, TX",Glamping resort,,,,,Camp Margaritaville Resort Crystal Beach,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Camp Margaritaville Resort Crystal Beach"""
Camp Matziv,Cassopolis,MI,19-186A-10,"Cassopolis, MI",RV Resort,,,,,Camp Matziv MMW Retreat,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Camp Matziv MMW Retreat"""
Camp Verde RV Resort,Camp Verde,,23-214A-08,Camp Verde,RV Resort,,,,,Verde Ranch RV Resort,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Verde Ranch RV Resort"""
Canary Beach Resort,Villard,MN,22-174A-04,"Villard, MN",RV Resort,,,,,Canary Beach RV Resort,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Canary Beach RV Resort"""
Carolina Hideaway Resort,Stokesdale,NC,23-270A-10,"Stokesdale, NC",Glamping resort,,,,,Carolina Hideaway Luxury Vacation Rental Home,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Carolina Hideaway Luxury Vacation Rental Home"""
Castle Gate RV Park,Helper,UT,21-240A-09,"Helper, UT",RV Resort,https://castlegatervpark.com/,,Open (OPERATIONAL),https://maps.google.com/?cid=3116059498717083812&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Castle Gate RV Park,4.8,626,2025,
Catskill Adventure Resort,Wurtsboro,NY,ARG-catskill-adventure-resort-wurtsboro-ny-ny,"Wurtsboro, NY",RV Resort,,,,,Catskill RV Resort,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Catskill RV Resort"""
CC RV Park,Laramie County,WY,25-109A-25,"Laramie County, WY",Glamping resort,,,,,Laramie County Fair RV Park,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Laramie County Fair RV Park"""
CCF Bank,Pickens,SC,25-209A-05,"Pickens, SC",Glamping resort,,,,,,,,,Skipped Google lookup — property name looks like bad import or non-property
Chippewa Ranch Camp,Eagle River,WI,20-226A-03,"Eagle River, WI",Other,http://www.chippewaranchcamp.com/,,Open (OPERATIONAL),https://maps.google.com/?cid=3544458846653059017&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Chippewa ranch camp,4.9,28,2017,
Cimarron Ranch RV Resort,Marble Falls,TX,23-273A-10,"Marble Falls, TX",RV Resort,,,,,Rancho de Cimarron,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Rancho de Cimarron"""
Circle G Ranch RV Resort,Horn Lake,MS,21-116A-03,"Horn Lake, MS",RV Resort,,,,,Circle G Ranch (Owned by Elvis Presley),,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Circle G Ranch (Owned by Elvis Presley)"""
Coal Burned Spoon Sanctuary,Greenwood,ME,21-230A-08,"Greenwood, ME",Glamping resort,,,,,,,,,No Google Places match for search query
Coastal Crossroads RV Resort,Fairhope,AL,23-249A-09,"Fairhope, AL",RV Resort,,,,,Coastal Haven RV Park,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Coastal Haven RV Park"""
Columbia Gorge Getaways,Carson,WA,21-294A-11__2,"Carson, WA",Glamping resort,https://www.columbiagorgegetaways.com/,,Open (OPERATIONAL),https://maps.google.com/?cid=10789154654484054035&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,Columbia Gorge Getaways,5,52,2025,
Confidential,Greene County,TN,23-106A-01,"Greene County, TN",RV Resort,,,,,,,,,Skipped Google lookup — property name looks like bad import or non-property
Contentment Resort,Rogers,AR,22-193A-05,"Rogers, AR",Glamping resort,,,,,Beaver Lake Glamping & RV Resort,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Beaver Lake Glamping & RV Resort"""
Coral Junction Motorcoach and RV Resort,Hurricane,UT,24-153A-04,"Hurricane, UT",RV Resort,,,,,Settler's Junction RV Park,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Settler's Junction RV Park"""
Coral Junction Motorcoach Resort,Hurricane,UT,22-221A-06,"Hurricane, UT",RV Resort,,,,,Color Canyon RV Resort,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Color Canyon RV Resort"""
Cottonwood Creek RV Resort,Ennis,TX,18-167A-10,"Ennis, TX",RV Resort,,,,,Cottonwood Creek RV Park,,,,"No Google candidate passed verification (exact business name or street number+street+city+state). Nearest result: ""Cottonwood Creek RV Park"""
