property_name,website_url,date_opened,resort_category,operational_status,City,State,Job Number,Google Review,Number of Reviews,Year of First Review
23-179A-05,,,Glamping resort,,Centre,AZ,23-179A-05,,,
23-250A-09,,,Glamping resort,,Sandusky,OH,23-250A-09,,,
23-296A-12,,,Glamping resort,,Stone Mountain,GA,23-296A-12,,,
25-107A-01,,,Glamping resort,,,CO,25-107A-01,,,
25-138A-03,,,Glamping resort,,,CO,25-138A-03,,,
25-138B-03,,,Glamping resort,,Cadillac,MI,25-138B-03,,,
Abide RV Resort,,,RV Resort,,Cragford,AL,23-156A-04,,,
Allatoona Landing Resort,,,Glamping resort,,Cartersville,GA,24-102A-01,,,
Amici Resorts,,,Glamping resort,,Altamont,TN,24-194A-06,,,
ANAWAY PLACE,http://anaway.com/,,Glamping resort,Open (OPERATIONAL),Richland Center,WI,23-283A-11,4.7,130,2025
Arbor Camp,https://arborcamp.com/,,Glamping resort,Open (OPERATIONAL),Ellsworth,ME,23-286A-11,5,10,2025
Arbor Camp Glamping Resort,,,Glamping resort,,Ellsworth,ME,24-208A-07,,,
are its remote location,,,Glamping resort,,Bledsoe County,TN,23-220A-08,,,
ARG		Pegasus Landing			GA	Proposed Luxury RV Park,,,Glamping resort,,Grants Pass,OR,23-228A-08,,,
Arkansas River Retreat,,,Glamping resort,,Salida,CO,24-127A-03,,,
Arrowhead RV Resort,,,RV Resort,,Carson City,NV,23-102A-01,,,
Arroyos Preserve RV Resort,,,RV Resort & Glamping,,La Paz Valley,AZ,20-309A-09,,,
Ashland/Huntington KOA,,,RV Resort,,Argillite,KY,ARG-ashland-huntington-koa-argillite-ky-ky,,,
Banderas Point,,,RV Resort & Glamping,,Frankfort,IN,23-128A-02,,,
Basecamp Parks,,,Glamping resort,,Weed,CA,23-246A-09,,,
Bashfully Bold Barn,,,Glamping resort,,Fountain Inn,SC,22-205A-06,,,
Bella Terra Resort,,,RV Resort,,Foley,AL,ARG-bella-terra-resort-foley-al-al,,,
"Bellaire, MI Glamping Market Analysis",,,Glamping resort,,Bellaire,MI,25-271A-08,,,
Belle Cypress RV Resort,,,RV Resort,,Avondale,LA,17-128A-05,,,
Benton County RV Resort,,,RV Resort,,Siloam Springs,AR,21-106A-02,,,
Bienville RV Resort,,,RV Resort,,White Springs,FL,20-102A-01,,,
Blue Sky San Marcos,,,Other,,,,24-302A-12,,,
