property_name,city,state,unit_type,url,match_status
Sunrise Campsites,Sedalia,CO,A Frame,https://www.hipcamp.com/en-GB/land/colorado-sunrise-campsites-9mxhkz7v,net_new_candidate
SB Mountain Cabin Rentals,Running Springs,CA,A Frame,https://www.hipcamp.com/en-GB/land/california-get-lost-inn-cabin-rentals-3pw1hm2d,net_new_candidate
Trailhead Cabins and Lodging,Meeker,CO,A Frame,https://www.hipcamp.com/en-US/land/colorado-trailhead-cabins-and-lodging-nelh9x5v,net_new_candidate
Yogi Bear's Jellystone Park™ Camp-Resort: Western New York,North Java,NY,A Frame,https://www.hipcamp.com/en-US/land/new-york-jellystone-park-western-new-york-7rvhdppk,net_new_candidate
HTR Door County,Egg Harbor,WI,A Frame,https://www.hipcamp.com/en-GB/land/wisconsin-htr-door-county-1xmhp755,net_new_candidate
Appalachian Retreat Camp,Newport,OH,A Frame,https://www.hipcamp.com/en-GB/land/ohio-appalachian-retreat-v1qh9r59,net_new_candidate
First Feather,Henrico,VA,A Frame,https://www.hipcamp.com/en-US/land/virginia-first-feather-xryh6vjx,net_new_candidate
In The Pines #1,Forks,WA,A Frame,https://www.hipcamp.com/en-GB/land/washington-in-the-pines-1-1-ozxh1loo,net_new_candidate
Nolla A-Frames Near Yosemite,Colfax Springs,CA,A Frame,https://www.hipcamp.com/en-GB/land/california-lillaskog-a-frames-near-yosemite-v1qhzdl7,already_in_sage_name_state
Spectacular A-Frame. Epic views!!,Wofford Heights,CA,A Frame,https://www.hipcamp.com/en-GB/land/california-spectacular-autumn-a-frame-views-qeohlqoz,net_new_candidate
The Hohnstead,Bonner,MT,A Frame,https://www.hipcamp.com/en-US/land/montana-the-hohnstead-ozxh91e2,net_new_candidate
Maine Guide Company,Carmel,ME,A Frame,https://www.hipcamp.com/en-GB/land/maine-maine-guide-company-2ejh6own,already_in_sage_name_state
Willenborg Woods,Charleston,IL,A Frame,https://www.hipcamp.com/en-GB/land/illinois-willenborg-woods-y0zhqem8,already_in_sage_name_state
Tammy Reeves,Joshua Tree,CA,A Frame,https://www.hipcamp.com/en-GB/land/california-tammy-reeves-xryh0919,net_new_candidate
Camping at Heritage Farms,Peninsula,OH,A Frame,https://www.hipcamp.com/en-GB/land/ohio-camping-at-heritage-farms-88lhoom2,net_new_candidate
Mountain A-Frame 30 min Ski El Dora,Black Hawk,CO,A Frame,https://www.hipcamp.com/en-GB/land/colorado-mountain-a-frame-dw9hljdm,net_new_candidate
A Promise to Gaia/Garden Of One,Rensselaerville,NY,A Frame,https://www.hipcamp.com/en-GB/land/new-york-a-promise-to-gaia-garden-of-one-4nelhzdd,net_new_candidate
Good Creek Meadows,Olney,MT,A Frame,https://www.hipcamp.com/en-GB/land/montana-good-creek-meadows-2ejhzmq1,already_in_sage_name_state
Noble Pine Campground,Mammoth Cave,KY,A Frame,https://www.hipcamp.com/en-GB/land/kentucky-noble-pine-campground-2ejhzln8,already_in_sage_name_state
On The Lake RV Resort,Onalaska,TX,A Frame,https://www.hipcamp.com/en-US/land/texas-on-the-lake-rv-resort-ozxhmm5e,net_new_candidate
Slippery Slope Cabin,Ruidoso,NM,A Frame,https://www.hipcamp.com/en-US/land/new-mexico-slippery-slope-cabin-kk9hypj6,net_new_candidate
Clover Cabin,Sisters,OR,A Frame,https://www.hipcamp.com/en-GB/land/oregon-clover-cabin-wz6hmnnx,net_new_candidate
The Point,Gouldsboro,ME,A Frame,https://www.hipcamp.com/en-GB/land/maine-the-point-2-06yh6pjk,net_new_candidate
Glamping At Fall Creek Retreats,Purlear,NC,A Frame,https://www.hipcamp.com/en-GB/land/north-carolina-fall-creek-retreats-lz9h5v91,net_new_candidate
Caney Fork Hunter Fisher Paradise,Gordonsville,TN,A Frame,https://www.hipcamp.com/en-US/land/tennessee-hillside-hideaway-tn-kk9hkjvl,net_new_candidate
Cozy A-Frames and Camp Vibes in NY,Canandaigua,NY,A Frame,https://www.hipcamp.com/en-GB/land/new-york-peaceful-finger-lakes-retreat-pw1hokl1,net_new_candidate
Mystic Meadow Farm Glamping.,Madison,NC,A Frame,https://www.hipcamp.com/en-GB/land/north-carolina-mystic-meadow-love-shack-dw9h6vl8,net_new_candidate
Punkin Hollow Resort,Stanton,KY,A Frame,https://www.hipcamp.com/en-GB/land/kentucky-punkin-hollow-resort-ex9h5q6d,already_in_sage_name_state
