wave,id,unit_hot_tub,status,evidence
A-No,10193,No,manual,"Huttopia Trappeur — no private tub; shared facilities."
A-No,10195,No,manual,"Huttopia Canadienne — no private tub."
A-No,10194,No,manual,"Huttopia Trappeur Duo — no private tub."
A-No,10424,No,manual,"Huttopia Trappeur Duo Pacific Red Rock — no private tub."
A-No,10099,No,manual,"Huttopia Canadienne Pacific — no private tub."
A-No,10100,No,manual,"Huttopia Trappeur Pacific — no private tub."
A-No,10101,No,manual,"Huttopia Trappeur Duo Pacific — no private tub."
A-No,10096,No,manual,"Huttopia Wine Country Canadienne — no private tub."
A-No,10097,No,manual,"Huttopia Wine Country Trappeur — no private tub."
A-No,10098,No,manual,"Huttopia Wine Country Trappeur Duo — no private tub."
A-No,10095,No,manual,"Costanoa Tent Bungalo — shared Bath House saunas/showers; no private tub."
A-No,10419,No,manual,"Costanoa Douglas Fir Cabins — shared Bath House; no private tub."
A-No,10418,No,manual,"Costanoa Campground Cabin — shared Bath House; no private tub."
A-No,10093,No,manual,"AutoCamp Russian River Luxury Tent — no private hot tub."
A-No,10198,No,manual,"AutoCamp Catskills Luxury Tent — no private hot tub."
A-No,13008,No,manual,"Collective Governors Island Journey Tent — no private tub."
A-No,13009,No,manual,"Collective Governors Island Voyager Tent — no private tub."
A-No,13010,No,manual,"Collective Governors Island Basecamp Cabin — no private tub."
A-No,10254,No,manual,"Collective Hill Country Summit Tent — no private tub."
A-No,10252,No,manual,"Collective Hill Country Honeymoon Tent — no private tub."
A-No,10253,No,manual,"Collective Hill Country Family Suite — no private tub."
A-No,10326,No,manual,"Two Capes South Cape Mirror Cabin — patio; no private hot tub listed."
A-No,10672,No,manual,"Postcard Cabins Hocking Hills — brand standard no private tub."
A-No,10675,No,manual,"Postcard Cabins Shenandoah North — brand standard no private tub."
B-Yes,10539,Yes,manual,"North Texas Jellystone Cabins — Premium/Rustic/Silos market in-room Jacuzzi-style tubs; park also has shared spa."
B-Yes,10481,Yes,manual,"Paws Up Montana luxury cabins/homes — private outdoor hot tubs standard (Big Timber / Meadow / Green O)."
B-Yes,10425,Yes,manual,"Huttopia Paradise Springs Chaplain Cabin — private patio hot tub (site listing)."
B-Yes,10045,Yes,manual,"Bolt Farm Mirror Cabins — private Nordic hot tub on terrace (boltfarmtreehouse.com / Travel + Leisure). Correct prior No."
B-Yes,13095,Yes,manual,"Tu Tu' Tun ÖÖD Glass Cabins — private outdoor soaking tubs (NYT / lodge marketing)."
B-Yes,13093,Yes,manual,"Oakey Mountain Mirror Häus — outdoor bath / hot tub + shared sauna (oodhotels)."
