priority_stratum,id,property_id,property_name,site_name,unit_type,state,unit_weight,rate_avg_retail_daily_rate,unit_hot_tub_current,property_hot_tub_current,unit_hot_tub_or_sauna_current,url,ota_url_hipcamp,ota_url_airbnb,discovery_source
P0-Safari/Cabin-blank,10539,3a8e7766-9d10-42ad-8df0-85b143209337,North Texas Jellystone Park,Cabins,Cabin,TX,122,238.13,,,Yes,https://www.northtexasjellystone.com/,,,Sage
P0-Safari/Cabin-blank,10193,0e7a4d64-eb2e-45c9-aa22-fa4d6f3741cb,Huttopia White Mountains,Trappeur,Safari Tent,NH,61,287.25,,,No,https://canada-usa.huttopia.com/en/,,,Sage
P0-Safari/Cabin-blank,9751,5109dc2f-7b6a-4186-aa3a-e8196e55b236,Under Canvas White Mountains,Safari Tent,Safari Tent,NH,45,293.75,,,,https://www.undercanvas.com/camps/white-mountains/,,,Sage
P0-Safari/Cabin-blank,10467,fde3d59a-165a-4541-929e-535e711cd323,Postcard Cabins Brown County,Cabin,Cabin,IN,45,171.5,,,No,https://www.marriott.com/en-us/hotels/indbc-postcard-cabins-brown-county-outdoor-collection-bonvoy/overview/,,,Sage
P0-Safari/Cabin-blank,10426,1f5383a3-36ea-4832-a5d3-a371288e2dd3,Postcard Cabins Big Bear,Tiny Cabins,Cabin,CA,40,236,,,No,https://postcardcabins.com/los-angeles/,,,Sage
P0-Safari/Cabin-blank,10530,8b81b3d6-f779-43d9-8010-1a51ddd3f2bd,Postcard Cabins Dale Hollow,Tiny Cabins,Cabin,TN,40,141,,,No,https://www.marriott.com/en-us/hotels/bnadl-postcard-cabins-dale-hollow-outdoor-collection-bonvoy/overview/,,,Sage
P0-Safari/Cabin-blank,9532,95799e27-51c0-4863-b001-67bb75cf4022,SKYE Texas Hill Country Resort,Cabin,Cabin,TX,36,253.75,,,,https://www.skyetexashillcountry.com/,,,Sage
P0-Safari/Cabin-blank,12947,6baca801-1434-4563-b0ad-7a5e59bafe76,Hinata Mountainside Resort,,Cabin,MA,32,424,,,,https://www.hinataretreat.com/,,,pipeline_research_2026_06_15
P0-Safari/Cabin-blank,10095,06544c3e-1326-487f-9bec-1f8ee6c5e9a3,Costanoa,Tent Bungalo,Safari Tent,CA,30,406.83,,,No,https://costanoa.com,,,Sage
P0-Safari/Cabin-blank,10481,d816bff9-37fc-479d-b041-d24b40ef674b,Paws Up Montana,luxury cabins,Cabin,MT,28,1500,,No,Yes,https://www.pawsup.com/,,,Sage; web_research_sauna_2026_05_27; web_research_hot_tub_2026_05_27
P0-Safari/Cabin-blank,10554,5cb35373-581a-4767-a667-32dcd400d090,Zion Wildflower Resort,Bungalows,Cabin,UT,25,245,,,Yes,https://zionwildflower.com/,,,Sage
P0-Safari/Cabin-blank,10195,0e7a4d64-eb2e-45c9-aa22-fa4d6f3741cb,Huttopia White Mountains,Canadienne,Safari Tent,NH,21,187.75,,,,https://canada-usa.huttopia.com/en/,,,Sage
P0-Safari/Cabin-blank,10419,06544c3e-1326-487f-9bec-1f8ee6c5e9a3,Costanoa,Douglas Fir Cabins,Cabin,CA,19,379.83,,,No,https://costanoa.com,,,Sage
P0-Safari/Cabin-blank,9627,aff52948-14b4-4d01-bc12-906fd9444754,The Woods Luxury Camping,Glamping Cabin,Cabin,MI,18,227.5,,,,http://bookthewoods.com/,,,Sage
P0-Safari/Cabin-blank,10135,97d26b8d-8f17-42be-87df-60ce4f0d130c,Camp Olowalu,Standard Tentalow,Safari Tent,HI,18,160,,,No,https://campolowalu.com,,,Sage
P0-Safari/Cabin-blank,10473,01733900-af68-4857-a404-5c38803657a9,Savage River Lodge,Cabins,Cabin,MD,18,265,,,No,https://www.savageriverlodge.com/,,,Sage
P0-Safari/Cabin-blank,10504,1ad57662-6be6-49cc-be47-2ae1b9431c37,Mohican Adventures,"A-Frame, Frye",Cabin,OH,17,290.25,,,No,https://www.mohicanadventures.com/,,,Sage
P0-Safari/Cabin-blank,10224,58b5f9ab-b90b-4b6d-9e7d-bbbf0cd53e64,Valley Overlook,Canvas Cabin,Safari Tent,OH,16,116.5,,,,https://www.valleyoverlook.com/,,,Sage
P0-Safari/Cabin-blank,10165,ae850e9d-38db-4cea-93b4-711f855b4c44,Off Map Glamping,Safari Tents,Safari Tent,MI,15,187.5,,,No,https://www.stayoffmap.com/,,,Sage
P0-Safari/Cabin-blank,13008,54752c1b-e4ae-4f5e-9f4c-65234d4b95cd,Collective Retreats Governors Island,Journey Tent,Safari Tent,NY,15,588.25,,,,https://www.collectiveretreats.com/retreat/collective-governors-island/,,,safari_tent_unit_mix_corrections_round2_2026_07_08
P0-Safari/Cabin-blank,10502,1f2ece7a-e082-42bb-8fd8-986a8149f39a,Hilltop Resorts and Campground,Cabins,Cabin,OH,14,145.67,,,No,https://www.hilltopresorts.com,,,Sage
P0-Safari/Cabin-blank,10113,ea1b3a6c-16aa-484c-961f-f9ddd8055058,Black Tree Resort,Tents,Safari Tent,CO,13,655,,,No,https://blacktreeresort.com,,,Sage
P0-Safari/Cabin-blank,10117,304685ba-bc17-45bf-bdce-90daac4ab8b8,Royal Gorge Cabins,Tent,Safari Tent,CO,13,286.5,,,No,https://www.royalgorgecabins.com,,,Sage
P0-Safari/Cabin-blank,9611,58ce6494-77a1-4aa5-952d-3c2b881f8696,Yellowstone Dreamin Camp,Glamping Tent,Safari Tent,MT,12,206.25,,,,https://www.yellowstonedreamincamp.com/,,,Sage
P0-Safari/Cabin-blank,10434,70c7c5a9-0412-4032-b873-e7cb778bc0f7,Cutty's Hayden Creek Resort,Cozy Cabins,Cabin,CO,12,131.5,,,No,https://cuttysresort.net,,,Sage
P0-Safari/Cabin-blank,10443,76008fc0-58c8-4999-9020-b84a8f4d5bcb,Postcard Cabins Gilchrist Springs,Cabin,Cabin,FL,12,184.5,,,,https://www.marriott.com/en-us/hotels/gnvgs-postcard-cabins-gilchrist-springs-outdoor-collection-bonvoy/overview/,,,Sage
P0-Safari/Cabin-blank,10140,a241541f-01e6-4eb7-a7b7-59b5295ca97b,Camp Aramoni,Tent,Safari Tent,IL,11,450,,,No,https://camparamoni.com,,,Sage
P0-Safari/Cabin-blank,10924,ddef014e-95c5-4184-95d8-46e41de1210e,Paint Rock Farm,Cabin,Cabin,NC,11,225,,,,https://www.paintrockfarm.com/,,,Web Research 2025
P0-Safari/Cabin-blank,10093,89838adb-89bd-4d5b-b62d-ec7ff0391861,AutoCamp Russian River,Luxury Tent,Safari Tent,CA,10,274.5,,,No,https://autocamp.com/russian-river/,,,Sage
P0-Safari/Cabin-blank,10163,7365e1ad-baeb-4e5f-a302-3543e835aa7f,Beaver Island Retreat,Safari Tents,Safari Tent,MI,10,249,,,No,https://beaverislandretreat.com,,,Sage
P0-Safari/Cabin-blank,10188,45e418ea-1669-4eb1-b6ce-45f9eb7a2087,Rusty's Roost Rentals,River Tent,Safari Tent,NC,10,128.8,,,No,https://rustysroostnc.com,,,Sage
P0-Safari/Cabin-blank,10194,0e7a4d64-eb2e-45c9-aa22-fa4d6f3741cb,Huttopia White Mountains,Trappeur Duo,Safari Tent,NH,10,260,,,No,https://canada-usa.huttopia.com/en/,,,Sage
P0-Safari/Cabin-blank,10198,47cdea9e-d3af-4cdb-9e71-4ffff8722e65,AutoCamp Catskills,Luxury Tent,Safari Tent,NY,10,264,,,No,https://autocamp.com/catskills/,,,Sage
P0-Safari/Cabin-blank,10220,850fc643-d467-459f-ab65-db87cc88fbce,Naturluxe & Stars,Platform Tent,Safari Tent,NY,10,514,,,No,http://www.naturluxeandstars.com/,,,Sage
P0-Safari/Cabin-blank,10254,946432a4-c5f2-402b-9aa6-c48eccde7050,Collective Retreats Hill Country,Summit Tent,Safari Tent,TX,10,264,,,No,https://www.collectiveretreats.com/retreat/collective-hill-country/,,,Sage
P0-Safari/Cabin-blank,10422,80a8b343-3d15-4b85-9b99-df2626de19d4,El Capitan Canyon,Cabins,Cabin,CA,10,414,,,No,https://elcapitancanyon.com/,,,Sage
P0-Safari/Cabin-blank,10428,5f3c2cd9-5c4f-41f2-afdd-27f96172de9a,Safari West,Hillside King,Cabin,CA,10,395.33,,,,https://www.safariwest.com/,,,Sage
P0-Safari/Cabin-blank,10447,015cbbf3-927b-4d98-b6bb-51b3e94f14bf,Westgate River Ranch Resort & Rodeo,Saddle Club Cabins,Cabin,FL,10,344.5,,,No,https://resort.to/wrrrr?y_source=1_OTc1MjIxNy03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,,,Sage
P0-Safari/Cabin-blank,10495,a0c2f25d-570c-4a14-95c0-7884e5eb29dd,Mustang Monument,Safari Cottages,Cabin,NV,10,2600,,,No,https://www.mustangmonument.com/,,,web_research_mustangmonument_2026_05
P0-Safari/Cabin-blank,10503,1ad57662-6be6-49cc-be47-2ae1b9431c37,Mohican Adventures,"Al's, Chuck, Hillside, Super Log",Cabin,OH,10,349,,,No,https://www.mohicanadventures.com/,,,Sage
P0-Safari/Cabin-blank,10587,2fe92e91-deb8-42e4-8885-7a6a1d6e7f03,Under Canvas North Yellowstone,Yellowstone River Suite,Safari Tent,MT,10,1317,,,No,https://www.undercanvas.com/camps/north-yellowstone/,,,Sage
P0-Safari/Cabin-blank,13009,54752c1b-e4ae-4f5e-9f4c-65234d4b95cd,Collective Retreats Governors Island,Voyager Tent,Safari Tent,NY,10,588.25,,,,https://www.collectiveretreats.com/retreat/collective-governors-island/,,,safari_tent_unit_mix_corrections_round2_2026_07_08
P0-Safari/Cabin-blank,10124,db89ebba-eb1a-4904-9a4d-b049c6f9958e,Twin Lakes Camp Resort,Glamping Tents,Safari Tent,FL,9,266.33,,,No,https://twinlakescampresort.com/,,,Sage
P0-Safari/Cabin-blank,10462,8347b480-e3cd-4895-b200-1f750a65a2c7,Shale Lake,Land Cabins,Cabin,IL,9,153,,,No,https://shalewine.com/home-page,,,Sage
P0-Safari/Cabin-blank,10505,1ad57662-6be6-49cc-be47-2ae1b9431c37,Mohican Adventures,Cozy Cabin,Cabin,OH,9,189.75,,,No,https://www.mohicanadventures.com/,,,Sage
P0-Safari/Cabin-blank,10506,1ad57662-6be6-49cc-be47-2ae1b9431c37,Mohican Adventures,Camper Cabins,Cabin,OH,9,154.17,,,No,https://www.mohicanadventures.com/,,,Sage
P0-Safari/Cabin-blank,10538,92a63e97-13c5-4957-9d6e-586de9a0d592,Luxury Yurt at Loyd Park on Joe Pool Lake,Piney Woods / Panhandle / Praries and Lakes / South Texas Plains / Rolling Plains / Big Bend / Gulf Coast / Hill Country / Lloyd Home,Cabin,TX,9,157.5,,,,https://loydpark.com/services/yurts/,,,Sage
