id,property_name,site_name,from,to,evidence
4,"Treehouse Utopia",null,null,Yes,"Treehouse Utopia — luxury treehouses with private bathrooms."
9539,"Lost Horizon","Safari Tent",null,Yes,"Lost Horizon safari tent — luxury inventory with private bathroom."
9554,"Treebones Resort","Yurt",null,No,"Treebones yurt — shared heated restrooms; not ensuite (treebonesresort.com)."
9555,"Treebones Resort","Autonomous Tent",null,Yes,"Treebones Autonomous Tent — en suite bathroom (treebonesresort.com)."
9559,"El Capitan Canyon","Safari Tent",null,No,"El Capitan Canyon Safari Tent — shared bathroom/shower buildings (site amenity list)."
9560,"El Capitan Canyon","Yurt",null,No,"El Capitan Canyon Adventure Yurt — bathhouse nearby, not ensuite (elcapitancanyon.com)."
9561,"El Capitan Canyon","Cedar Cabin",null,Yes,"El Capitan Canyon Cedar Cabin — private bathroom in cabin (elcapitancanyon.com)."
9572,"Alpenglow Luxury Camping","Glacier View Tent",null,No,"Alpenglow Luxury Camping Glacier View Tent — shared showers/flush toilets common area."
9573,"Alpenglow Luxury Camping","Mountain View Tent",null,No,"Alpenglow Luxury Camping Mountain View Tent — shared showers/flush toilets common area."
9574,"Borealis Basecamp","Fiberglass Igloo",null,Yes,"Borealis Basecamp igloos/cubes — en suite full baths (borealisbasecamp.net FAQ)."
9575,"Borealis Basecamp","Cube",null,Yes,"Borealis Basecamp igloos/cubes — en suite full baths (borealisbasecamp.net FAQ)."
9578,"Orca Island Cabins","Luxury Yurt",null,Yes,"Orca Island Cabins luxury yurts — ensuite private bathroom with hot shower (orcaislandcabins.com)."
9865,"Sonoma Zipline Adventure","Treehouse","No",Yes,"Sonoma Zipline / Treehouse Adventures — in-unit composting toilet + sink (sonomacounty.com). Corrected No→Yes."
10067,"Onera Fredericksburg","Juniper Haus",null,Yes,"Onera Fredericksburg units — private bathroom listed on every SKU (stayonera.com)."
10068,"Onera Fredericksburg","Sage Safari",null,Yes,"Onera Fredericksburg units — private bathroom listed on every SKU (stayonera.com)."
10069,"Onera Fredericksburg","Cocoon",null,Yes,"Onera Fredericksburg units — private bathroom listed on every SKU (stayonera.com)."
10075,"Zion Ponderosa Ranch Resort","Zion Ponderosa Tiny Home",null,Yes,"Zion Ponderosa Tiny Home — private bathroom in unit (vacation-home listing)."
10262,"Onera Fredericksburg","Pecan Haus",null,Yes,"Onera Fredericksburg units — private bathroom listed on every SKU (stayonera.com)."
10302,"Lakedale","Canvas Cottage","No",Yes,"Lakedale Canvas Cottage — private bathroom with shower (lakedale.com). Corrected No→Yes."
10311,"Treebones Resort","Autonomous Tent","No",Yes,"Treebones Autonomous Tent — en suite bathroom (treebonesresort.com). Corrected No→Yes."
10346,"The Glamping Collective","Ultra Luxe Dome",null,Yes,"The Glamping Collective luxury domes/glass cabins — private ensuite bathrooms (brand standard)."
10347,"The Glamping Collective","XL Luxe Geo Dome",null,Yes,"The Glamping Collective luxury domes/glass cabins — private ensuite bathrooms (brand standard)."
10369,"Onera Fredericksburg","Lantana Dome",null,Yes,"Onera Fredericksburg units — private bathroom listed on every SKU (stayonera.com)."
10422,"El Capitan Canyon","Cabins","No",Yes,"El Capitan Canyon cabins — private ensuite bathroom (elcapitancanyon.com). Corrected No→Yes."
10490,"The Glamping Collective","Luxe Glass Cabin",null,Yes,"The Glamping Collective luxury domes/glass cabins — private ensuite bathrooms (brand standard)."
10491,"The Glamping Collective","Glass Cabin",null,Yes,"The Glamping Collective luxury domes/glass cabins — private ensuite bathrooms (brand standard)."
10626,"Zion Ponderosa Ranch Resort","Glamping",null,No,"Zion Ponderosa glamping tents — shared shower house / restrooms near tents (zionponderosa.com)."
10840,"The Green O",null,null,Yes,"The Green O — ultra-luxury lodging with private bathrooms."
11577,"Rimrock Ranch",null,null,Yes,"Rimrock Ranch Airstream — in-unit private bathroom (luxury Airstream inventory)."
11598,"The Glamping Collective","Luxe Dome",null,Yes,"The Glamping Collective luxury domes/glass cabins — private ensuite bathrooms (brand standard)."
11599,"The Glamping Collective","Ultra Luxe Dome Accessible",null,Yes,"The Glamping Collective luxury domes/glass cabins — private ensuite bathrooms (brand standard)."
11600,"The Glamping Collective","Luxe Glass Cabin Accessible",null,Yes,"The Glamping Collective luxury domes/glass cabins — private ensuite bathrooms (brand standard)."
11601,"The Glamping Collective","XL Geo Dome",null,Yes,"The Glamping Collective luxury domes/glass cabins — private ensuite bathrooms (brand standard)."
12059,"Westgate River Ranch Resort & Rodeo","Luxury Glamping","No",Yes,"Westgate River Ranch Luxury Glamping — full private bathroom with walk-in shower (westgateresorts.com). Corrected No→Yes."
