id,property_id,property_name,site_name,unit_type,city,state,is_open,research_status,url,is_mirror_cabin_signal,audit_date
10326,d4a351a9-0cca-414a-8b06-1d017de5836c,Two Capes Lookout,South Cape Mirror Cabin,Mirror Cabin,Cloverdale,OR,Yes,published,https://www.twocapeslookout.com/,yes,2026-07-13
10490,c4b9e669-a094-4de5-8c17-b8041d18948a,The Glamping Collective,Luxe Glass Cabin,Cabin,Clyde,NC,Yes,published,https://www.theglampingcollective.com/,no,2026-07-13
10327,84dfdbce-be28-4861-bf02-8723ea981d28,The Retreat on the Hill,Mirror House,Mirror Cabin,Cottonwood Shores,TX,Yes,published,https://theretreatonthehill.com/,yes,2026-07-13
10952,b819bcc8-0a2c-4bda-b2a1-747940fd3e11,7 Ranch Getaways,Mirage Mirror Cabin,Mirror Cabin,Madill,OK,Yes,published,https://resnexus.com/resnexus/reservations/book/FB65A2CE-D638-4BF5-B4F4-1DE7AC616531/?NewSearch=1,yes,2026-07-13
10891,35101060-7de5-4324-b008-d15349c88e20,Space Cowboys,Mirrored Space Pod,Dome,Terlingua,TX,Yes,published,https://bookspacecowboys.com/,no,2026-07-13
12237,3e27838b-f2d5-4431-943f-07286f65144c,East Zion Resort,Mirror House,Tiny Home,Orderville,UT,Yes,published,https://www.eastzionresort.com/lodging,yes,2026-07-13
9565,d4a351a9-0cca-414a-8b06-1d017de5836c,Two Capes Lookout,Mirror Cabin,Cabin,Cloverdale,OR,Yes,published,https://twocapeslookout.com/,yes,2026-07-13
10045,28ecdf5f-7c1c-4937-932d-739d35a26b05,Bolt Farm Treehouse,Mirror Cabins,Tiny Home,Whitwell,TN,Yes,published,https://www.boltfarmtreehouse.com/,yes,2026-07-13
11600,c4b9e669-a094-4de5-8c17-b8041d18948a,The Glamping Collective,Luxe Glass Cabin Accessible,Cabin,Clyde,NC,Yes,published,https://www.theglampingcollective.com/,no,2026-07-13
10491,c4b9e669-a094-4de5-8c17-b8041d18948a,The Glamping Collective,Glass Cabin,Cabin,Clyde,NC,Yes,published,https://www.theglampingcollective.com/,no,2026-07-13
