id,property_name,site_name,field,from,to,evidence
9597,"Downata Hot Springs","Glamping Wagon",unit_private_bathroom,null,No,"Downata Conestoga wagons — no inside bathroom; poolside restaurant & snack bar on site (downatahotsprings.com / Top Hot Springs)."
9597,"Downata Hot Springs","Glamping Wagon",property_food_on_site,null,Yes,"Downata Conestoga wagons — no inside bathroom; poolside restaurant & snack bar on site (downatahotsprings.com / Top Hot Springs)."
9597,"Downata Hot Springs","Glamping Wagon",property_restaurant,null,Yes,"Downata Conestoga wagons — no inside bathroom; poolside restaurant & snack bar on site (downatahotsprings.com / Top Hot Springs)."
9633,"Arcady Ridge Ranch","Canvas Wall Tent",property_food_on_site,null,No,"Arcady Ridge canvas tents — no on-site restaurant/food service evidence; property hot tub already Yes (lodge swim spa). Bath left blank (running water / facilities unclear for tent SKU)."
9633,"Arcady Ridge Ranch","Canvas Wall Tent",property_restaurant,null,No,"Arcady Ridge canvas tents — no on-site restaurant/food service evidence; property hot tub already Yes (lodge swim spa). Bath left blank (running water / facilities unclear for tent SKU)."
9638,"Turner Falls Park","Covered Wagon",unit_private_bathroom,null,No,"Turner Falls Park covered wagons — shared park bathhouses; no restaurant. Food left blank pending concession confirmation."
9638,"Turner Falls Park","Covered Wagon",property_hot_tub,null,No,"Turner Falls Park covered wagons — shared park bathhouses; no restaurant. Food left blank pending concession confirmation."
9638,"Turner Falls Park","Covered Wagon",property_restaurant,null,No,"Turner Falls Park covered wagons — shared park bathhouses; no restaurant. Food left blank pending concession confirmation."
9651,"Arizona Nordic Village","Yurt",unit_private_bathroom,null,No,"Arizona Nordic Village yurts — typical shared bathhouse rustic inventory; no restaurant/hot tub evidence."
9651,"Arizona Nordic Village","Yurt",property_hot_tub,null,No,"Arizona Nordic Village yurts — typical shared bathhouse rustic inventory; no restaurant/hot tub evidence."
9651,"Arizona Nordic Village","Yurt",property_food_on_site,null,No,"Arizona Nordic Village yurts — typical shared bathhouse rustic inventory; no restaurant/hot tub evidence."
9651,"Arizona Nordic Village","Yurt",property_restaurant,null,No,"Arizona Nordic Village yurts — typical shared bathhouse rustic inventory; no restaurant/hot tub evidence."
9748,"Wolfe's Neck Oceanfront Camping & Glamping","Cabin",unit_private_bathroom,null,No,"Wolfe’s Neck cabins — community shower houses / outhouses; onsite farm store food; no restaurant (freeportcamping.com)."
9748,"Wolfe's Neck Oceanfront Camping & Glamping","Cabin",property_hot_tub,null,No,"Wolfe’s Neck cabins — community shower houses / outhouses; onsite farm store food; no restaurant (freeportcamping.com)."
9748,"Wolfe's Neck Oceanfront Camping & Glamping","Cabin",property_food_on_site,null,Yes,"Wolfe’s Neck cabins — community shower houses / outhouses; onsite farm store food; no restaurant (freeportcamping.com)."
9748,"Wolfe's Neck Oceanfront Camping & Glamping","Cabin",property_restaurant,null,No,"Wolfe’s Neck cabins — community shower houses / outhouses; onsite farm store food; no restaurant (freeportcamping.com)."
11611,"Pitch Yellowstone",null,unit_private_bathroom,null,Yes,"Pitch Yellowstone domes — large private modern bathroom + kitchenette; no on-site restaurant/hot tub (pitchyellowstone.com)."
11611,"Pitch Yellowstone",null,property_hot_tub,null,No,"Pitch Yellowstone domes — large private modern bathroom + kitchenette; no on-site restaurant/hot tub (pitchyellowstone.com)."
11611,"Pitch Yellowstone",null,property_food_on_site,null,No,"Pitch Yellowstone domes — large private modern bathroom + kitchenette; no on-site restaurant/hot tub (pitchyellowstone.com)."
11611,"Pitch Yellowstone",null,property_restaurant,null,No,"Pitch Yellowstone domes — large private modern bathroom + kitchenette; no on-site restaurant/hot tub (pitchyellowstone.com)."
11622,"Sou'wester Lodge","Sou'wester Lodge",property_food_on_site,null,Yes,"Sou’wester — Front Porch Market snacks/provisions; no full-service restaurant (souwesterlodge.com). Bath mixed across trailers — left blank."
11622,"Sou'wester Lodge","Sou'wester Lodge",property_restaurant,null,No,"Sou’wester — Front Porch Market snacks/provisions; no full-service restaurant (souwesterlodge.com). Bath mixed across trailers — left blank."
