id,keeper_id,action,reason
63,33,delete,River's Edge Treehouse Resort|null
65,39,delete,Branson Treehouse Adventures|null
70,42,delete,Les Refuges Perchés|null
204,178,delete,The Resort at Eagle Point|null
208,187,delete,Elk Ridge Resort|null
211,188,delete,Killarney Mountain Lodge|null
216,189,delete,Northern Edge Algonquin|null
210,192,delete,Emerald Lake Lodge|null
212,193,delete,Tigh-Na-Mara Seaside Spa Resort|null
217,194,delete,Arowhon Pines|null
221,201,delete,Hotel Escondido|null
220,202,delete,Xinalani Retreat|null
9624,9517,delete,The Fields of Michigan|Cottage
9712,9517,delete,The Fields of Michigan|Cottage
10357,9564,delete,Two Capes Lookout|Geodesic Dome
9713,9620,delete,Lost Woods Farm & Forest|Bell Tent
9715,9621,delete,Lost Woods Farm & Forest|Geodesic Dome
9711,9623,delete,The Fields of Michigan|Glamping Tent
9720,9628,delete,Glamp Michigan|Geodesic Dome
9722,9630,delete,Paddler's Village|Yurt
9724,9632,delete,Timberglow Getaway|Glamping Tent
10558,9645,delete,Shash Dine' EcoRetreat|Bell Tent
9869,9696,delete,Timber Ridge Outpost & Cabins|White Oak Treehouse
10351,9732,delete,The Outlier Inn|Geodesic Dome
9811,9810,delete,The Inn & Spa at Cedar Falls|Yurts
9913,9912,delete,Sunny Valley Resort|Tipi
10268,10267,delete,Serana|Tent
10318,10317,delete,The Inn & Spa at Cedar Falls|Cottages
10329,10328,delete,Grand Canyon Glamping Resort|Glamping Dome
10371,10370,delete,StarStruck Glamping|Domes
10377,10376,delete,Grand Canyon Glamping Resort|Glamping Wagon
10508,10507,delete,The Inn & Spa at Cedar Falls|Cabins
10525,10524,delete,Bear Den Cabins & Camp|Rustic Cabin
10545,10544,delete,Zion Ponderosa Ranch Resort|Cowboy Cabins
10753,10752,delete,Elk Island Retreat|Cabins
10950,10949,delete,Glacier Rock Wellness Rock Ranch|null
12774,12416,delete,Bay Center / Willapa Bay KOA Holiday|Bay Center / Willapa Bay KOA Holiday
12449,12448,delete,Buffalo KOA Journey|Buffalo KOA Journey
12763,12451,delete,Burlington / Anacortes KOA Holiday|Burlington / Anacortes KOA Holiday
12781,12456,delete,St. George / Hurricane KOA Journey|St. George / Hurricane KOA Journey
12482,12481,delete,Clearwater / Lake Tarpon KOA Holiday|Clearwater / Lake Tarpon KOA Holiday
12696,12507,delete,Ventura Ranch KOA Holiday|Ventura Ranch KOA Holiday
12820,12507,delete,Ventura Ranch KOA Holiday|Ventura Ranch KOA Holiday
12540,12539,delete,Fort Pierce West KOA Holiday|Fort Pierce West KOA Holiday
12542,12541,delete,Fredericksburg / Washington DC South KOA Holiday|Fredericksburg / Washington DC South KOA Holiday
12720,12544,delete,Pigeon Forge / Gatlinburg KOA Holiday|Pigeon Forge / Gatlinburg KOA Holiday
12686,12549,delete,Niagara Falls / Grand Island KOA Holiday|Niagara Falls / Grand Island KOA Holiday
12776,12557,delete,Travelers Rest / N Greenville KOA Holiday|Travelers Rest / N Greenville KOA Holiday
12580,12579,delete,Hot Springs National Park KOA Holiday|Hot Springs National Park KOA Holiday
12671,12585,delete,Indianapolis KOA Holiday|Indianapolis KOA Holiday
12748,12621,delete,Lebanon KOA Holiday on Salmon Falls River Holiday|Lebanon KOA Holiday on Salmon Falls River Holiday
12642,12641,delete,Madison / Pittsburgh S.E. KOA Journey|Madison / Pittsburgh S.E. KOA Journey
12667,12666,delete,Mount Pleasant / Charleston KOA Holiday|Mount Pleasant / Charleston KOA Holiday
12717,12716,delete,Philadelphia South / Clarksboro KOA Holiday|Philadelphia South / Clarksboro KOA Holiday
12779,12778,delete,Springfield / Route 66 KOA Holiday|Springfield / Route 66 KOA Holiday
