id,property_name,matched_place_id,similarity,status
1,Yosemite Pines RV Resort & Family Lodging,ChIJBYPdV27VkIARldVvaj4_0rE,1.000,matched
2,Camp Wandawega,,0,not_found
3,Post Ranch Inn,ChIJyRIOxGO8koARh25pZ7mikWE,1.000,matched
4,Treehouse Utopia,ChIJcS5EhSS5XoYRfpG-v47_KeE,1.000,matched
9,The Point,ChIJ04Kq05ATy0wRonPza5T1BJE,1.000,matched
31,Treehouse Point,,0,not_found
32,Eureka Springs Treehouses,,0,not_found
33,River's Edge Treehouse Resort,ChIJnwSVZo_GXogRwsoGc9u9ImU,1.000,matched
36,In The Trees ,,0,not_found
39,Branson Treehouse Adventures,,0,not_found
40,Treehouse Resort at River Road,,0,not_found
64,Eureka Springs Treehouses,,0,not_found
88,Sinya on Lone Man Creek,,0,not_found
108,Falling Waters Adventure Resort,,0,not_found
109,Yosemite Lakes RV Resort,,0,not_found
110,The Yurt Village at Frost Mountain,,0,not_found
138,Holistika Tulum,,0,not_found
140,Monte Uzulu,,0,not_found
162,Kate's Lazy Desert Airstream Motel,,0,not_found
163,Flying Flags RV Resort & Campground,ChIJuTUsqRyr7oAR3J8mJgyej1s,1.000,matched
164,The Shady Dell,ChIJgWq4uka00IYRrP19j3S9kC8,1.000,matched
165,Silver Bullet Retreats,,0,not_found
180,The Resort at Massey’s Landing,,0,not_found
181,The Resort at Port Ludlow,ChIJmYaRVtvgj1QR2ZOk8nPwZNE,1.000,matched
200,Zoa Hotel,,0,not_found
9505,Firefall Ranch,,0,not_found
9506,Jellystone Park Zion,ChIJ32noVTpZyoARKvvmEMrK3uE,0.952,matched
9507,Wyldstay Smoky Mountains,,0,not_found
9510,Ray of Sunshine,,0,not_found
9511,Timberline Glamping at Amelia Island,,0,not_found
9512,Timberline Glamping at Amelia Island,,0,not_found
9513,Timberline Glamping at Pymatuning,,0,not_found
9514,AutoCamp Hill Country,,0,not_found
9517,The Fields of Michigan,ChIJiWvzVShVF4gRAWYYidWRWyU,1.000,matched
9521,Tuxedo Falls,ChIJWxg_ZFXFWYgRU1EFDYoR4V0,1.000,matched
9522,Glamping Wild,,0,not_found
9523,Elk & Embers Resort,ChIJ5SGMbWB7WYgR8IMx7qOIf5o,0.632,matched
9525,Elk & Embers Resort,ChIJ5SGMbWB7WYgR8IMx7qOIf5o,0.632,matched
9526,Broad River Campground,,0,not_found
9527,Broad River Campground,,0,not_found
9528,The Hemlocks by NOC,,0,not_found
9529,Elk Hollow Resort,ChIJ0WWLc75JWYgRI-xDXy8s_yA,1.000,matched
9531,SKYE Texas Hill Country Resort,ChIJJWEgUHLPW4YRHPDC8a-VI2s,1.000,matched
9532,SKYE Texas Hill Country Resort,ChIJJWEgUHLPW4YRHPDC8a-VI2s,1.000,matched
9534,Basecamp Terlingua,ChIJR-uIXQ757YYRLqxVbfqxZrY,1.000,matched
9536,The Cedars Ranch,,0,not_found
9537,The Cedars Ranch,,0,not_found
9538,Blue Skies Retro Resort,ChIJq6rOKga6W4YRfpGs4SmA2Dk,1.000,matched
9540,Camp Ferncrest - Chambers Creek,ChIJ3W_nippRToYRIFwmvPJHRDM,0.774,matched
9542,Royal View Campground,,0,not_found
9545,Gunnison Glamping Wagons,,0,not_found
9546,Wildhaven Yosemite,ChIJd1QkHyy7loARNfz2e8DvrOI,0.667,matched
9547,Wildhaven Yosemite,ChIJd1QkHyy7loARNfz2e8DvrOI,0.667,matched
9548,Evergreen Lodge,,0,not_found
9552,Costanoa Lodge,,0,not_found
9554,Treebones Resort,ChIJEQTXma-ikoARCNwLZLNVDKA,1.000,matched
9555,Treebones Resort,ChIJEQTXma-ikoARCNwLZLNVDKA,1.000,matched
9557,The Trailer Pond at Alta Colina,,0,not_found
9558,Wildhaven Sonoma,ChIJr8RBtmERhIAR1SkvI-PJIao,0.640,matched
9559,El Capitan Canyon,ChIJWxoXo9VO6YARypm7wEx_e1M,1.000,matched
9560,El Capitan Canyon,ChIJWxoXo9VO6YARypm7wEx_e1M,1.000,matched
9561,El Capitan Canyon,ChIJWxoXo9VO6YARypm7wEx_e1M,1.000,matched
9562,Flying Flags Avila Beach,ChIJDV3VFZD57IARTrGVW41QgXY,1.000,matched
9563,Sequoia High Sierra Camp,,0,not_found
9565,Two Capes Lookout,ChIJy7s5bObd6lQRRxbZUF6XjP4,0.607,matched
9566,The Vintages Trailer Resort,ChIJNcWHHilElVQRAZf-nYDQ2IE,1.000,matched
9567,Umpqua's Last Resort,,0,not_found
9568,Lost Lake Resort,,0,not_found
9572,Alpenglow Luxury Camping,ChIJce8PZHKayVYRp0fxo6Xbb7o,1.000,matched
9573,Alpenglow Luxury Camping,ChIJce8PZHKayVYRp0fxo6Xbb7o,1.000,matched
9574,Borealis Basecamp,ChIJBXPUsNsUMlERdn-QOoNCQiY,1.000,matched
9575,Borealis Basecamp,ChIJBXPUsNsUMlERdn-QOoNCQiY,1.000,matched
