id,property_id,old_total,new_total,property_name,action
11,e9fa8938-12f4-40cd-a066-5c340670254a,,5,Clayoquot Wilderness Lodge,update
12,33387855-ffc9-4b5c-a51c-52c18c93b495,,15,Mount Engadine Lodge,update
18,9fb020a7-8dfa-4208-b8fa-26180e44c114,,9,Treetop Haven,update
31,a3178651-a97d-4c5d-8de3-fc0c05e3ce26,6,7,Treehouse Point,update
42,9d809848-b48d-47db-bc72-80fed55a1c83,8,12,Les Refuges Perchés,update
52,9a4164f2-f223-444e-a9d8-df9b8ecef0fb,8,10,Riviera Maya Treehouse Resort,update
87,64029283-bd01-4fe0-abba-1e5c04e60e21,8,18,Collective Retreats Vail,update
10269,7824773f-426e-4eb0-b4a1-ee646595fb65,1,5,Sinya on Lone Man Creek,update
11123,824280ac-8c08-4450-b40c-b196a199f7ce,10,12,Yurt Village,update
152,bdf0b4c5-b450-4923-869d-d72a323657a5,5,10,Hobbiton Hideaway,update
178,7d7f1123-c4dd-41a3-bf9c-4b4768a004a0,5,10,The Resort at Eagle Point,update
216,0cceab43-b620-4409-9250-7dd781234ded,7,8,Northern Edge Algonquin,update
194,ff68af84-b6a1-459d-813a-ec6713c7599c,12,13,Arowhon Pines,update
9506,3eac4576-cb9b-4e9c-a40a-0e510b147ed1,,4,Jellystone Park Zion,update
9507,d29e6fad-901a-4280-b52e-7017cde3a942,,2,Wyldstay Smoky Mountains,update
9510,68204578-568d-4060-a9c0-451598f6af09,,2,Ray of Sunshine,update
9513,fa33600a-dfd0-4b1b-9c7c-04fe637d00d6,,8,Timberline Glamping at Pymatuning,update
9531,95799e27-51c0-4863-b001-67bb75cf4022,48,99,SKYE Texas Hill Country Resort,update
9532,95799e27-51c0-4863-b001-67bb75cf4022,48,99,SKYE Texas Hill Country Resort,update
9540,53743d4e-7fde-4755-935f-576416fd0bc2,,10,Camp Ferncrest - Chambers Creek,update
11815,53743d4e-7fde-4755-935f-576416fd0bc2,,10,Camp Ferncrest - Chambers Creek,update
9554,17f8dcfc-873f-44f8-9288-9ffeee764ae5,,26,Treebones Resort,update
9555,17f8dcfc-873f-44f8-9288-9ffeee764ae5,,26,Treebones Resort,update
9559,80a8b343-3d15-4b85-9b99-df2626de19d4,,16,El Capitan Canyon,update
9560,80a8b343-3d15-4b85-9b99-df2626de19d4,,16,El Capitan Canyon,update
9561,80a8b343-3d15-4b85-9b99-df2626de19d4,,16,El Capitan Canyon,update
9564,d4a351a9-0cca-414a-8b06-1d017de5836c,15,21,Two Capes Lookout,update
9565,d4a351a9-0cca-414a-8b06-1d017de5836c,4,21,Two Capes Lookout,update
9567,65b0bdf6-39c6-4148-ab1e-b4534efa2248,,17,Umpqua's Last Resort,update
9568,caae79d5-aaed-4d9a-add8-0638a6c88f69,,31,Lost Lake Resort,update
10947,caae79d5-aaed-4d9a-add8-0638a6c88f69,,31,Lost Lake Resort,update
10948,caae79d5-aaed-4d9a-add8-0638a6c88f69,,31,Lost Lake Resort,update
9572,27de84c0-fdc6-4d3c-8486-d9b9e650c296,,8,Alpenglow Luxury Camping,update
9573,27de84c0-fdc6-4d3c-8486-d9b9e650c296,,8,Alpenglow Luxury Camping,update
9574,4419eb3e-2657-4c18-a94c-5bd5aa3286e4,,25,Borealis Basecamp,update
9575,4419eb3e-2657-4c18-a94c-5bd5aa3286e4,,25,Borealis Basecamp,update
9577,925c1c4e-82c9-49d6-805e-18db3df21492,,16,Log Cabin Wilderness Lodge,update
9578,e5375918-540b-483c-b73d-aff5e02e4b0c,,8,Orca Island Cabins,update
9766,592a2546-a332-4041-9e59-df0a2776d941,4,7,Shearwater Cove,update
9582,ce9f666b-3994-4912-ae3b-e5b93b665f9a,,14,Snow Peak Campfield,update
9590,7a21a358-5241-4ff5-ad36-a7f70d6d915b,,6,Skamania Lodge,update
9620,9070750d-df56-4023-a218-dd08c41e87f3,,1,Lost Woods Farm & Forest,update
9713,9070750d-df56-4023-a218-dd08c41e87f3,,1,Lost Woods Farm & Forest,update
9714,9070750d-df56-4023-a218-dd08c41e87f3,,1,Lost Woods Farm & Forest,update
9715,9070750d-df56-4023-a218-dd08c41e87f3,,1,Lost Woods Farm & Forest,update
9719,aff52948-14b4-4d01-bc12-906fd9444754,,18,The Woods Luxury Camping,update
9645,3f8fb0d0-a949-401e-8b08-096e6f1a1a17,,9,Shash Dine' EcoRetreat,update
9646,3f8fb0d0-a949-401e-8b08-096e6f1a1a17,,9,Shash Dine' EcoRetreat,update
9647,3f8fb0d0-a949-401e-8b08-096e6f1a1a17,,9,Shash Dine' EcoRetreat,update
10309,3f8fb0d0-a949-401e-8b08-096e6f1a1a17,8,9,Shash Dine' EcoRetreat,update
10379,3f8fb0d0-a949-401e-8b08-096e6f1a1a17,8,9,Shash Dine' EcoRetreat,update
10415,3f8fb0d0-a949-401e-8b08-096e6f1a1a17,8,9,Shash Dine' EcoRetreat,update
10558,3f8fb0d0-a949-401e-8b08-096e6f1a1a17,8,9,Shash Dine' EcoRetreat,update
9652,6aee8f96-831a-41dc-bc6f-85c827c17e83,,48,Wander Camp Grand Canyon,update
9728,69245ad2-6271-417f-80ff-f063f16b2740,,6,Glampful,update
9732,b7334799-a250-4250-82a0-a2985f37192d,,13,The Outlier Inn,update
9733,b7334799-a250-4250-82a0-a2985f37192d,,13,The Outlier Inn,update
